symbol,structure,entry_time_utc,exit_time_utc,expiry_date,entry_underlying,exit_underlying,entry_value,exit_value,pnl_points,pnl_dollars,return_pct,sigma,exit_reason,legs
SPY,put_debit_spread,2025-04-11T19:25:00+00:00,2025-04-11T19:55:00+00:00,2025-04-16,534.74,533.98,3.0451,3.0726,0.0274,2.74,0.9007,1.04,signal_exit,BUY 1 SPY 2025-04-16 535 PUT ; SELL 1 SPY 2025-04-16 529 PUT
SPY,put_debit_spread,2025-04-30T19:40:00+00:00,2025-05-01T15:40:00+00:00,2025-05-05,551.29,562.06,2.4537,1.7612,-0.6926,-69.26,-28.2248,0.5183,signal_exit,BUY 1 SPY 2025-05-05 552 PUT ; SELL 1 SPY 2025-05-05 547 PUT
SPY,call_debit_spread,2025-05-07T18:25:00+00:00,2025-05-07T18:30:00+00:00,2025-05-12,557.98,559.34,3.5281,3.7105,0.1824,18.24,5.1688,0.3572,signal_exit,BUY 1 SPY 2025-05-12 557 CALL ; SELL 1 SPY 2025-05-12 565 CALL
SPY,put_debit_spread,2025-05-16T18:40:00+00:00,2025-05-16T19:30:00+00:00,2025-05-21,593.66,593.61,1.3969,1.4014,0.0045,0.45,0.3241,0.1721,signal_exit,BUY 1 SPY 2025-05-21 594 PUT ; SELL 1 SPY 2025-05-21 591 PUT
SPY,call_debit_spread,2025-05-20T18:35:00+00:00,2025-05-20T19:30:00+00:00,2025-05-23,591.46,591.99,2.0757,2.1791,0.1035,10.35,4.9846,0.1803,signal_exit,BUY 1 SPY 2025-05-23 591 CALL ; SELL 1 SPY 2025-05-23 596 CALL
SPY,call_debit_spread,2025-05-21T17:35:00+00:00,2025-05-21T19:35:00+00:00,2025-05-26,587.72,584.25,3.8319,3.2839,-0.548,-54.8,-14.3007,0.3194,signal_exit,BUY 1 SPY 2025-05-26 587 CALL ; SELL 1 SPY 2025-05-26 596 CALL
SPY,put_debit_spread,2025-05-30T19:40:00+00:00,2025-06-02T13:30:00+00:00,2025-06-04,589.9,589.37,2.2764,2.2269,-0.0495,-4.95,-2.1732,0.2708,signal_exit,BUY 1 SPY 2025-06-04 590 PUT ; SELL 1 SPY 2025-06-04 585 PUT
SPY,put_debit_spread,2025-06-02T18:20:00+00:00,2025-06-03T13:55:00+00:00,2025-06-05,591.26,592.39,2.2815,2.0599,-0.2216,-22.16,-9.7128,0.2657,signal_exit,BUY 1 SPY 2025-06-05 592 PUT ; SELL 1 SPY 2025-06-05 587 PUT
SPY,call_debit_spread,2025-06-05T19:40:00+00:00,2025-06-05T19:45:00+00:00,2025-06-10,593.79,594.29,2.6614,2.73,0.0686,6.86,2.578,0.247,signal_exit,BUY 1 SPY 2025-06-10 593 CALL ; SELL 1 SPY 2025-06-10 599 CALL
SPY,put_debit_spread,2025-06-10T19:10:00+00:00,2025-06-10T19:35:00+00:00,2025-06-13,602.9,602.19,1.8743,2.0574,0.1831,18.31,9.7696,0.1321,signal_exit,BUY 1 SPY 2025-06-13 603 PUT ; SELL 1 SPY 2025-06-13 598 PUT
