symbol,structure,entry_time_utc,exit_time_utc,expiry_date,entry_underlying,exit_underlying,entry_value,exit_value,pnl_points,pnl_dollars,return_pct,sigma,exit_reason,legs
SPY,call_debit_spread,2025-04-11T19:25:00+00:00,2025-04-11T19:55:00+00:00,2025-04-16,534.74,533.98,3.2126,3.1803,-0.0323,-3.23,-1.0054,1.04,signal_exit,BUY 1 SPY 2025-04-16 534 CALL ; SELL 1 SPY 2025-04-16 541 CALL
SPY,call_debit_spread,2025-04-30T19:40:00+00:00,2025-05-01T15:40:00+00:00,2025-05-05,551.29,562.06,2.3086,2.991,0.6824,68.24,29.5577,0.5183,signal_exit,BUY 1 SPY 2025-05-05 551 CALL ; SELL 1 SPY 2025-05-05 556 CALL
SPY,put_debit_spread,2025-05-07T18:25:00+00:00,2025-05-07T18:30:00+00:00,2025-05-12,557.98,559.34,3.1454,2.9863,-0.1592,-15.92,-5.0608,0.3572,signal_exit,BUY 1 SPY 2025-05-12 558 PUT ; SELL 1 SPY 2025-05-12 551 PUT
SPY,call_debit_spread,2025-05-16T18:40:00+00:00,2025-05-16T19:30:00+00:00,2025-05-21,593.66,593.61,1.4047,1.3995,-0.0052,-0.52,-0.3708,0.1721,signal_exit,BUY 1 SPY 2025-05-21 593 CALL ; SELL 1 SPY 2025-05-21 596 CALL
SPY,put_debit_spread,2025-05-20T18:35:00+00:00,2025-05-20T19:30:00+00:00,2025-05-23,591.46,591.99,2.1214,2.0138,-0.1077,-10.77,-5.0753,0.1803,signal_exit,BUY 1 SPY 2025-05-23 592 PUT ; SELL 1 SPY 2025-05-23 587 PUT
SPY,put_debit_spread,2025-05-21T17:35:00+00:00,2025-05-21T19:35:00+00:00,2025-05-26,587.72,584.25,3.8888,4.4435,0.5547,55.47,14.2652,0.3194,signal_exit,BUY 1 SPY 2025-05-26 588 PUT ; SELL 1 SPY 2025-05-26 579 PUT
SPY,call_debit_spread,2025-05-30T19:40:00+00:00,2025-06-02T13:30:00+00:00,2025-06-04,589.9,589.37,2.6964,2.4849,-0.2116,-21.16,-7.8463,0.2708,signal_exit,BUY 1 SPY 2025-06-04 589 CALL ; SELL 1 SPY 2025-06-04 595 CALL
SPY,call_debit_spread,2025-06-02T18:20:00+00:00,2025-06-03T13:55:00+00:00,2025-06-05,591.26,592.39,1.7895,1.9053,0.1158,11.58,6.4698,0.2657,signal_exit,BUY 1 SPY 2025-06-05 591 CALL ; SELL 1 SPY 2025-06-05 595 CALL
SPY,put_debit_spread,2025-06-05T19:40:00+00:00,2025-06-05T19:45:00+00:00,2025-06-10,593.79,594.29,2.2638,2.2064,-0.0574,-5.74,-2.5353,0.247,signal_exit,BUY 1 SPY 2025-06-10 594 PUT ; SELL 1 SPY 2025-06-10 589 PUT
SPY,call_debit_spread,2025-06-10T19:10:00+00:00,2025-06-10T19:35:00+00:00,2025-06-13,602.9,602.19,2.324,2.1064,-0.2176,-21.76,-9.3613,0.1321,signal_exit,BUY 1 SPY 2025-06-13 602 CALL ; SELL 1 SPY 2025-06-13 608 CALL
