symbol,structure,entry_time_utc,exit_time_utc,expiry_date,entry_underlying,exit_underlying,entry_value,exit_value,pnl_points,pnl_dollars,return_pct,sigma,exit_reason,legs
QQQ,put_debit_spread,2026-03-20T17:35:00+00:00,2026-03-20T17:39:00+00:00,2026-03-23,584.08,584.13,2.1102,2.0974,-0.0127,-1.27,-0.6028,0.1423,signal_exit,BUY 1 QQQ 2026-03-23 585 PUT ; SELL 1 QQQ 2026-03-23 580 PUT
QQQ,put_debit_spread,2026-03-20T17:50:00+00:00,2026-03-20T17:51:00+00:00,2026-03-23,583.99,583.92,0.8993,0.9067,0.0074,0.74,0.8252,0.1384,signal_exit,BUY 1 QQQ 2026-03-23 584 PUT ; SELL 1 QQQ 2026-03-23 582 PUT
SPY,put_debit_spread,2026-03-20T17:47:00+00:00,2026-03-20T17:53:00+00:00,2026-03-23,650.75,651.25,1.6271,1.521,-0.1061,-10.61,-6.5217,0.1198,signal_exit,BUY 1 SPY 2026-03-23 651 PUT ; SELL 1 SPY 2026-03-23 647 PUT
SPY,put_debit_spread,2026-03-20T18:04:00+00:00,2026-03-20T18:15:00+00:00,2026-03-23,650.81,650.54,1.2852,1.3302,0.045,4.5,3.4979,0.1172,signal_exit,BUY 1 SPY 2026-03-23 651 PUT ; SELL 1 SPY 2026-03-23 648 PUT
QQQ,put_debit_spread,2026-03-20T18:20:00+00:00,2026-03-20T18:25:00+00:00,2026-03-23,583.29,582.75,1.7284,1.8454,0.117,11.7,6.7674,0.1347,signal_exit,BUY 1 QQQ 2026-03-23 584 PUT ; SELL 1 QQQ 2026-03-23 580 PUT
QQQ,put_debit_spread,2026-03-20T18:37:00+00:00,2026-03-20T18:49:00+00:00,2026-03-23,581.82,581.44,1.6152,1.6958,0.0807,8.07,4.9935,0.1354,signal_exit,BUY 1 QQQ 2026-03-23 582 PUT ; SELL 1 QQQ 2026-03-23 578 PUT
SPY,put_debit_spread,2026-03-20T18:38:00+00:00,2026-03-20T18:49:00+00:00,2026-03-23,648.43,647.94,1.9935,2.1222,0.1288,12.88,6.4591,0.1219,signal_exit,BUY 1 SPY 2026-03-23 649 PUT ; SELL 1 SPY 2026-03-23 644 PUT
QQQ,put_debit_spread,2026-03-20T19:34:00+00:00,2026-03-20T19:39:00+00:00,2026-03-23,580.03,579.32,2.022,2.2461,0.2241,22.41,11.0837,0.1144,signal_exit,BUY 1 QQQ 2026-03-23 581 PUT ; SELL 1 QQQ 2026-03-23 576 PUT
SPY,call_debit_spread,2026-03-23T18:05:00+00:00,2026-03-23T18:06:00+00:00,2026-03-24,658.03,657.77,1.4278,1.3567,-0.0711,-7.11,-4.9804,0.148,signal_exit,BUY 1 SPY 2026-03-24 658 CALL ; SELL 1 SPY 2026-03-24 662 CALL
QQQ,call_debit_spread,2026-03-23T18:32:00+00:00,2026-03-23T18:42:00+00:00,2026-03-24,589.86,590.76,1.3464,1.5558,0.2094,20.94,15.5506,0.1591,signal_exit,BUY 1 QQQ 2026-03-24 589 CALL ; SELL 1 QQQ 2026-03-24 592 CALL
