timestamp,symbol,from_state,to_state,reason,regime,price,center_price,drift_count,layer_count
2026-03-02T18:30:00+00:00,SPX,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,6881.39,6875.0,0,1
2026-03-02T19:25:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,6896.8,6880.0,1,1
2026-03-02T19:40:00+00:00,SPX,DRIFTING,ACTIVE_CENTERED,Price returned to the center band.,RANGE,6895.52,6885.0,0,1
2026-03-02T20:10:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,6868.33,6885.0,1,1
2026-03-02T20:15:00+00:00,SPX,DRIFTING,ACTIVE_CENTERED,Price returned to the center band.,RANGE,6875.62,6885.0,0,1
2026-03-02T20:25:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,6868.81,6885.0,1,1
2026-03-02T20:30:00+00:00,SPX,DRIFTING,ACTIVE_CENTERED,Price returned to the center band.,RANGE,6875.61,6885.0,0,1
2026-03-03T14:30:00+00:00,SPX,ACTIVE_CENTERED,IDLE,Primary stop-loss reached.,TREND_DOWN,6759.52,6885.0,0,1
2026-03-03T14:35:00+00:00,SPX,IDLE,ABORT,Regime turned TREND_DOWN.,TREND_DOWN,6773.23,,0,0
2026-03-03T20:10:00+00:00,SPX,ABORT,IDLE,Range conditions returned after abort.,RANGE,6822.31,6875.0,0,0
2026-03-04T15:00:00+00:00,SPX,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,6830.05,6825.0,0,1
2026-03-04T15:05:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,6845.93,6825.0,1,1
2026-03-04T15:20:00+00:00,SPX,DRIFTING,IDLE,Primary stop-loss reached.,NEUTRAL,6869.93,6825.0,3,1
2026-03-04T15:30:00+00:00,SPX,IDLE,ABORT,Regime turned TREND_UP.,TREND_UP,6868.75,,0,0
2026-03-04T15:45:00+00:00,SPX,ABORT,IDLE,Range conditions returned after abort.,RANGE,6860.3,6830.0,0,0
2026-03-04T15:55:00+00:00,SPX,IDLE,ABORT,Regime turned TREND_UP.,TREND_UP,6873.01,6830.0,0,0
2026-03-04T16:10:00+00:00,SPX,ABORT,IDLE,Range conditions returned after abort.,RANGE,6860.23,6835.0,0,0
2026-03-04T16:10:00+00:00,SPX,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,6860.23,6840.0,0,1
2026-03-04T16:15:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,6860.19,6840.0,1,1
2026-03-04T16:50:00+00:00,SPX,DRIFTING,REBUILD,Drift persisted and rebuild cooldown passed.,RANGE,6875.58,6850.0,8,1
2026-03-04T16:55:00+00:00,SPX,REBUILD,ACTIVE_CENTERED,Rebuilt corridor around the new center.,RANGE,6872.73,6850.0,0,1
2026-03-04T17:00:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,6877.66,6850.0,1,1
2026-03-04T17:20:00+00:00,SPX,DRIFTING,ACTIVE_CENTERED,Price returned to the center band.,RANGE,6871.93,6860.0,0,1
2026-03-05T14:30:00+00:00,SPX,ACTIVE_CENTERED,IDLE,Primary take-profit reached.,RANGE,6856.62,6880.0,0,1
2026-03-05T15:00:00+00:00,SPX,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,6858.32,6875.0,0,1
2026-03-05T15:05:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,6850.7,6875.0,1,1
2026-03-05T15:20:00+00:00,SPX,DRIFTING,IDLE,Primary stop-loss reached.,RANGE,6826.11,6870.0,3,1
2026-03-05T15:30:00+00:00,SPX,IDLE,ABORT,Regime turned TREND_DOWN.,TREND_DOWN,6816.83,,0,0
2026-03-05T15:55:00+00:00,SPX,ABORT,IDLE,Range conditions returned after abort.,RANGE,6835.08,6865.0,0,0
2026-03-05T16:00:00+00:00,SPX,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,6823.58,6860.0,0,1
2026-03-05T16:05:00+00:00,SPX,ACTIVE_CENTERED,IDLE,Primary stop-loss reached.,TREND_DOWN,6815.93,6860.0,0,1
2026-03-05T16:10:00+00:00,SPX,IDLE,ABORT,Regime turned TREND_DOWN.,TREND_DOWN,6812.33,,0,0
2026-03-05T16:40:00+00:00,SPX,ABORT,IDLE,Range conditions returned after abort.,RANGE,6816.16,6855.0,0,0
2026-03-05T17:10:00+00:00,SPX,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,6819.74,6835.0,0,1
2026-03-05T17:15:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,6807.14,6835.0,1,1
2026-03-05T17:30:00+00:00,SPX,DRIFTING,IDLE,Primary stop-loss reached.,NEUTRAL,6786.66,6830.0,3,1
2026-03-05T17:45:00+00:00,SPX,IDLE,ABORT,Regime turned TREND_DOWN.,TREND_DOWN,6777.62,,0,0
2026-03-05T19:15:00+00:00,SPX,ABORT,IDLE,Range conditions returned after abort.,RANGE,6786.8,6820.0,0,0
2026-03-05T19:20:00+00:00,SPX,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,6785.95,6795.0,0,1
2026-03-05T19:30:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,6774.41,6795.0,1,1
2026-03-05T19:40:00+00:00,SPX,DRIFTING,ACTIVE_CENTERED,Price returned to the center band.,RANGE,6783.57,6790.0,0,1
2026-03-05T20:10:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,6802.02,6785.0,1,1
2026-03-05T20:35:00+00:00,SPX,DRIFTING,ACTIVE_CENTERED,Holding active positions overnight outside the trading window.,RANGE,6814.69,6785.0,5,1
2026-03-06T14:35:00+00:00,SPX,ACTIVE_CENTERED,IDLE,Primary stop-loss reached.,NEUTRAL,6724.35,6790.0,0,1
2026-03-06T14:40:00+00:00,SPX,IDLE,ABORT,Momentum expansion exceeded the abort threshold.,NEUTRAL,6722.98,,0,0
2026-03-06T18:25:00+00:00,SPX,ABORT,IDLE,Range conditions returned after abort.,RANGE,6759.95,6785.0,0,0
2026-03-06T18:45:00+00:00,SPX,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,6760.44,6755.0,0,1
2026-03-06T20:00:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,6770.09,6755.0,1,1
