timestamp,symbol,from_state,to_state,reason,regime,price,center_price,drift_count,layer_count
2025-04-09T17:25:00+00:00,SPX,IDLE,ABORT,Regime turned TREND_UP.,TREND_UP,5256.32,,0,0
2025-04-15T15:00:00+00:00,SPX,ABORT,IDLE,Range conditions returned after abort.,RANGE,5431.9,5020.0,0,0
2025-04-15T15:30:00+00:00,SPX,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,5424.04,5430.0,0,1
2025-04-15T16:55:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5407.99,5425.0,1,1
2025-04-15T17:00:00+00:00,SPX,DRIFTING,ACTIVE_CENTERED,Price returned to the center band.,RANGE,5413.75,5425.0,0,1
2025-04-15T17:05:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5409.91,5425.0,1,1
2025-04-15T17:10:00+00:00,SPX,DRIFTING,ACTIVE_CENTERED,Price returned to the center band.,RANGE,5411.56,5425.0,0,1
2025-04-15T17:15:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5404.24,5425.0,1,1
2025-04-15T17:40:00+00:00,SPX,DRIFTING,ACTIVE_CENTERED,Price returned to the center band.,RANGE,5406.77,5420.0,0,1
2025-04-15T17:50:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5393.71,5420.0,1,1
2025-04-15T18:10:00+00:00,SPX,DRIFTING,IDLE,Primary stop-loss reached.,RANGE,5390.95,5415.0,4,1
2025-04-15T18:15:00+00:00,SPX,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,5388.47,5415.0,0,1
2025-04-15T18:20:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5391.28,5415.0,1,1
2025-04-15T18:30:00+00:00,SPX,DRIFTING,ACTIVE_CENTERED,Price returned to the center band.,RANGE,5399.67,5410.0,0,1
