mode,max_option_spread,net_dollar_pnl,return_on_capital,win_rate,closed_layers,max_drawdown,execution_filtered_entries,paper_spread_penalty_dollars,paper_spread_gate_total_spread,paper_spread_gate_spread_ratio
tax,0.25,2863508.6593,28.635087,1.0,2721,-6.3949,0,3891030.0,7.4,0.3491
tax,0.5,2905569.3695,29.055694,1.0,2721,-6.2751,0,3754980.0,7.4,0.3491
tax,0.75,2947630.0796,29.476301,1.0,2721,-6.1554,0,3618930.0,7.4,0.3491
tax,1.0,2989690.7898,29.896908,1.0,2721,-6.0356,0,3482880.0,7.4,0.3491
tax,1.25,3031751.5,30.317515,1.0,2721,-5.9158,0,3346830.0,7.4,0.3491
tax,1.35,3048575.7841,30.485758,1.0,2721,-5.8679,0,3292410.0,7.4,0.3491
tax,1.5,3073812.2102,30.738122,1.0,2721,-5.7961,0,3210780.0,7.4,0.3491
tax,1.75,3115872.9203,31.158729,1.0,2721,-5.6763,0,3074730.0,7.4,0.3491
tax,2.0,3157933.6305,31.579336,1.0,2721,-5.5565,0,2938680.0,7.4,0.3491
hard_reject,0.25,0.0,0.0,,0,0.0,4820,0.0,7.4,0.3491
hard_reject,0.5,0.0,0.0,,0,0.0,4820,0.0,7.4,0.3491
hard_reject,0.75,0.0,0.0,,0,0.0,4820,0.0,7.4,0.3491
hard_reject,1.0,0.0,0.0,,0,0.0,4820,0.0,7.4,0.3491
hard_reject,1.25,0.0,0.0,,0,0.0,4820,0.0,7.4,0.3491
hard_reject,1.35,0.0,0.0,,0,0.0,4820,0.0,7.4,0.3491
hard_reject,1.5,0.0,0.0,,0,0.0,4820,0.0,7.4,0.3491
hard_reject,1.75,0.0,0.0,,0,0.0,4820,0.0,7.4,0.3491
hard_reject,2.0,0.0,0.0,,0,0.0,4820,0.0,7.4,0.3491
