case_id,wing_mode,butterfly_width,broken_wing_extra_width,default_dte,max_layers,max_option_spread,net_dollar_pnl,gross_dollar_pnl,friction_adjustment_dollars,closed_layers,winning_layers,losing_layers,win_rate_by_closed_layer,profit_factor_by_closed_layer,return_on_capital,max_drawdown,max_modeled_capital_at_risk_dollars,execution_filtered_entries
c_001,symmetric,75.0,0.0,3,1,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_002,symmetric,75.0,0.0,3,1,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_003,symmetric,75.0,0.0,3,2,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_004,symmetric,75.0,0.0,3,2,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_005,symmetric,75.0,0.0,3,3,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_006,symmetric,75.0,0.0,3,3,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_007,symmetric,75.0,0.0,5,1,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_008,symmetric,75.0,0.0,5,1,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_009,symmetric,75.0,0.0,5,2,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_010,symmetric,75.0,0.0,5,2,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_011,symmetric,75.0,0.0,5,3,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_012,symmetric,75.0,0.0,5,3,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_013,symmetric,75.0,0.0,7,1,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_014,symmetric,75.0,0.0,7,1,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_015,symmetric,75.0,0.0,7,2,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_016,symmetric,75.0,0.0,7,2,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_017,symmetric,75.0,0.0,7,3,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_018,symmetric,75.0,0.0,7,3,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_019,symmetric,100.0,0.0,3,1,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_020,symmetric,100.0,0.0,3,1,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_021,symmetric,100.0,0.0,3,2,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_022,symmetric,100.0,0.0,3,2,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_023,symmetric,100.0,0.0,3,3,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_024,symmetric,100.0,0.0,3,3,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_025,symmetric,100.0,0.0,5,1,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_026,symmetric,100.0,0.0,5,1,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_027,symmetric,100.0,0.0,5,2,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_028,symmetric,100.0,0.0,5,2,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_029,symmetric,100.0,0.0,5,3,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_030,symmetric,100.0,0.0,5,3,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_031,symmetric,100.0,0.0,7,1,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
