case_id,wing_mode,butterfly_width,broken_wing_extra_width,default_dte,max_layers,max_option_spread,net_dollar_pnl,gross_dollar_pnl,friction_adjustment_dollars,closed_layers,winning_layers,losing_layers,win_rate_by_closed_layer,profit_factor_by_closed_layer,return_on_capital,max_drawdown,max_modeled_capital_at_risk_dollars,execution_filtered_entries
c_001,broken_lower,100.0,20.0,5,1,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_002,broken_lower,100.0,20.0,5,1,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_003,broken_lower,100.0,20.0,5,2,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_004,broken_lower,100.0,20.0,5,2,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_005,broken_lower,100.0,20.0,5,3,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_006,broken_lower,100.0,20.0,5,3,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_007,broken_lower,75.0,15.0,3,1,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_008,broken_lower,75.0,15.0,3,1,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_009,broken_lower,75.0,15.0,3,2,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_010,broken_lower,75.0,15.0,3,2,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_011,broken_lower,75.0,15.0,3,3,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_012,broken_lower,75.0,15.0,3,3,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_013,broken_lower,100.0,20.0,7,1,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_014,broken_lower,100.0,20.0,7,1,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_015,broken_lower,100.0,20.0,7,2,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_016,broken_lower,100.0,20.0,7,2,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_017,broken_lower,100.0,20.0,7,3,4.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
c_018,broken_lower,100.0,20.0,7,3,5.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,0.0,7539
