case_id,stage,symbol,wing_mode,butterfly_width,broken_wing_extra_width,default_dte,max_option_spread,net_dollar_pnl,gross_dollar_pnl,friction_adjustment_dollars,closed_layers,winning_layers,losing_layers,execution_filtered_entries,win_rate_by_closed_layer,profit_factor_by_closed_layer,return_on_capital,max_drawdown,max_gross_deployment_dollars,max_modeled_capital_at_risk_dollars,synthetic_chain_state_path,synthetic_chain_report_path
s1_035,stage1,SPX,broken_lower,100.0,20.0,5,5.0,64383.233,144310.7192,79927.4862,345,150,195,0,0.434783,1.393491,0.643832,-224.9284,7121.16,7176.36,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_031,stage1,SPX,broken_lower,75.0,15.0,3,5.0,49175.5777,135167.8004,85992.2227,441,151,290,0,0.342404,1.229932,0.491756,-377.1522,5224.08,5279.28,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_036,stage1,SPX,broken_lower,100.0,20.0,7,5.0,19405.5011,97496.3389,78090.8378,345,141,204,0,0.408696,1.131365,0.194055,-236.8791,6167.8,6223.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_010,stage1,SPX,symmetric,100.0,0.0,3,5.0,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_022,stage1,SPX,broken_upper,100.0,20.0,3,5.0,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_034,stage1,SPX,broken_lower,100.0,20.0,3,5.0,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_023,stage1,SPX,broken_upper,100.0,20.0,5,5.0,-57445.3787,20680.1448,78125.5234,340,116,224,0,0.341176,0.71242,-0.574454,-609.9107,7121.16,7176.36,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_024,stage1,SPX,broken_upper,100.0,20.0,7,5.0,-63779.766,12442.3431,76222.1091,337,115,222,0,0.341246,0.632291,-0.637798,-640.6137,6167.8,6223.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_019,stage1,SPX,broken_upper,75.0,15.0,3,5.0,-67583.3176,16067.3644,83650.682,429,128,301,0,0.298368,0.708214,-0.675833,-728.5942,5224.08,5279.28,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_011,stage1,SPX,symmetric,100.0,0.0,5,5.0,-72357.6873,12072.0754,84429.7627,351,109,242,0,0.310541,0.659712,-0.723577,-757.7632,6914.68,6959.88,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_032,stage1,SPX,broken_lower,75.0,15.0,5,5.0,-78838.4817,1878.5741,80717.0557,443,133,310,0,0.300226,0.649408,-0.788385,-793.1933,5150.68,5205.88,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_007,stage1,SPX,symmetric,75.0,0.0,3,5.0,-102331.69,-9215.5425,93116.1475,485,133,352,0,0.274227,0.623144,-1.023317,-1028.6299,5172.0,5217.2,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_012,stage1,SPX,symmetric,100.0,0.0,7,5.0,-107072.2124,-25434.7594,81637.453,347,99,248,0,0.285303,0.481699,-1.070722,-1073.9726,6467.24,6512.44,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
