case_id,stage,symbol,stage1_source_case_id,wing_mode,butterfly_width,broken_wing_extra_width,default_dte,max_option_spread,net_dollar_pnl,gross_dollar_pnl,friction_adjustment_dollars,closed_layers,winning_layers,losing_layers,execution_filtered_entries,win_rate_by_closed_layer,profit_factor_by_closed_layer,return_on_capital,max_drawdown,max_gross_deployment_dollars,max_modeled_capital_at_risk_dollars,synthetic_chain_state_path,synthetic_chain_report_path
s2_005,stage2,SPX,s1_035,broken_lower,100.0,20.0,5,5.0,64383.233,144310.7192,79927.4862,345,150,195,0,0.434783,1.393491,0.643832,-224.9284,7121.16,7176.36,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_010,stage2,SPX,s1_031,broken_lower,75.0,15.0,3,5.0,49175.5777,135167.8004,85992.2227,441,151,290,0,0.342404,1.229932,0.491756,-377.1522,5224.08,5279.28,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_015,stage2,SPX,s1_036,broken_lower,100.0,20.0,7,5.0,19405.5011,97496.3389,78090.8378,345,141,204,0,0.408696,1.131365,0.194055,-236.8791,6167.8,6223.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_002,stage2,SPX,s1_035,broken_lower,100.0,20.0,5,1.5,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_003,stage2,SPX,s1_035,broken_lower,100.0,20.0,5,2.0,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_006,stage2,SPX,s1_031,broken_lower,75.0,15.0,3,1.35,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_004,stage2,SPX,s1_035,broken_lower,100.0,20.0,5,3.0,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_001,stage2,SPX,s1_035,broken_lower,100.0,20.0,5,1.35,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_007,stage2,SPX,s1_031,broken_lower,75.0,15.0,3,1.5,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_008,stage2,SPX,s1_031,broken_lower,75.0,15.0,3,2.0,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_009,stage2,SPX,s1_031,broken_lower,75.0,15.0,3,3.0,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_011,stage2,SPX,s1_036,broken_lower,100.0,20.0,7,1.35,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_012,stage2,SPX,s1_036,broken_lower,100.0,20.0,7,1.5,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_013,stage2,SPX,s1_036,broken_lower,100.0,20.0,7,2.0,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_014,stage2,SPX,s1_036,broken_lower,100.0,20.0,7,3.0,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_016,stage2,SPX,s1_010,symmetric,100.0,0.0,3,1.35,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_017,stage2,SPX,s1_010,symmetric,100.0,0.0,3,1.5,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_018,stage2,SPX,s1_010,symmetric,100.0,0.0,3,2.0,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_019,stage2,SPX,s1_010,symmetric,100.0,0.0,3,3.0,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_020,stage2,SPX,s1_010,symmetric,100.0,0.0,3,5.0,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
