timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte
2026-03-30T13:45:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,637.14,635.0,1,Opened the primary butterfly corridor layer.,PRIMARY,630.0,635.0,640.0,5.0,5
2026-03-30T14:15:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,636.19,635.0,1,Opened the primary butterfly corridor layer.,PRIMARY,630.0,635.0,640.0,5.0,5
2026-03-30T14:40:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,635.96,635.0,1,Opened the primary butterfly corridor layer.,PRIMARY,630.0,635.0,640.0,5.0,5
2026-03-30T17:05:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,635.03,636.0,1,Opened the primary butterfly corridor layer.,PRIMARY,631.0,636.0,641.0,5.0,5
2026-03-30T17:15:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,634.47,635.0,2,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,630.0,635.0,640.0,5.0,5
2026-03-30T17:30:00+00:00,SPY,DRIFT_STARTED,DRIFTING,633.25,636.0,,Corridor drift started.,2.75
2026-03-30T17:35:00+00:00,SPY,REBUILD_REQUESTED,REBUILD,632.84,637.0,,Requested corridor rebuild after sustained drift.,2,4.16
2026-03-30T17:40:00+00:00,SPY,REBUILT,REBUILD,633.51,636.0,1,Removed prior layers for rebuild.,PRIMARY,631.0,636.0,641.0,5.0,5
2026-03-30T17:40:00+00:00,SPY,REBUILT,REBUILD,633.51,635.0,2,Removed prior layers for rebuild.,SUPPLEMENTAL,630.0,635.0,640.0,5.0,5
2026-03-30T17:40:00+00:00,SPY,REBUILT,ACTIVE_CENTERED,633.51,637.0,3,Established a fresh primary butterfly corridor layer.,PRIMARY,632.0,637.0,642.0,5.0,5
2026-03-30T18:35:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,632.71,635.0,1,Opened the primary butterfly corridor layer.,PRIMARY,630.0,635.0,640.0,5.0,5
2026-03-30T18:50:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,632.14,633.0,2,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,628.0,633.0,638.0,5.0,5
