timestamp,symbol,from_state,to_state,reason,regime,price,center_price,drift_count,layer_count
2025-03-31T17:50:00+00:00,SPX,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,5561.02,5555.0,0,1
2025-03-31T18:00:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5566.62,5555.0,1,2
2025-03-31T18:05:00+00:00,SPX,DRIFTING,REBUILD,Drift persisted and rebuild cooldown passed.,NEUTRAL,5582.75,5555.0,2,2
2025-03-31T18:10:00+00:00,SPX,REBUILD,ACTIVE_CENTERED,Rebuilt corridor around the new center.,NEUTRAL,5582.78,5560.0,0,1
2025-03-31T18:15:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,NEUTRAL,5588.88,5560.0,1,1
2025-03-31T18:25:00+00:00,SPX,DRIFTING,REBUILD,Drift persisted and rebuild cooldown passed.,NEUTRAL,5590.5,5560.0,3,1
2025-03-31T18:30:00+00:00,SPX,REBUILD,ACTIVE_CENTERED,Rebuilt corridor around the new center.,NEUTRAL,5593.76,5565.0,0,1
2025-03-31T18:35:00+00:00,SPX,ACTIVE_CENTERED,ABORT,Regime turned TREND_UP.,TREND_UP,5596.19,5565.0,0,1
2025-04-01T19:30:00+00:00,SPX,ABORT,IDLE,Range conditions returned after abort.,RANGE,5614.64,5565.0,0,0
2025-04-01T19:30:00+00:00,SPX,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,5614.64,5610.0,0,1
2025-04-01T19:35:00+00:00,SPX,ACTIVE_CENTERED,IDLE,Outside valid trading window.,RANGE,5618.42,5610.0,0,1
2025-04-02T13:55:00+00:00,SPX,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,5611.07,5605.0,0,1
2025-04-02T14:00:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5625.8,5605.0,1,1
2025-04-02T14:05:00+00:00,SPX,DRIFTING,REBUILD,Drift persisted and rebuild cooldown passed.,RANGE,5611.97,5605.0,2,1
2025-04-02T14:10:00+00:00,SPX,REBUILD,ACTIVE_CENTERED,Rebuilt corridor around the new center.,RANGE,5613.23,5605.0,0,1
2025-04-02T14:15:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5623.31,5605.0,1,1
2025-04-02T14:25:00+00:00,SPX,DRIFTING,REBUILD,Drift persisted and rebuild cooldown passed.,RANGE,5629.9,5605.0,3,1
2025-04-02T14:30:00+00:00,SPX,REBUILD,ACTIVE_CENTERED,Rebuilt corridor around the new center.,RANGE,5631.62,5610.0,0,1
2025-04-02T14:35:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5631.64,5610.0,1,1
2025-04-02T14:45:00+00:00,SPX,DRIFTING,REBUILD,Drift persisted and rebuild cooldown passed.,RANGE,5634.28,5610.0,3,1
2025-04-02T14:50:00+00:00,SPX,REBUILD,ACTIVE_CENTERED,Rebuilt corridor around the new center.,RANGE,5634.56,5610.0,0,1
2025-04-02T14:55:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,NEUTRAL,5642.7,5615.0,1,1
2025-04-02T15:05:00+00:00,SPX,DRIFTING,REBUILD,Drift persisted and rebuild cooldown passed.,NEUTRAL,5642.41,5615.0,3,1
2025-04-02T15:10:00+00:00,SPX,REBUILD,ACTIVE_CENTERED,Rebuilt corridor around the new center.,NEUTRAL,5633.26,5620.0,0,1
2025-04-02T15:15:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,NEUTRAL,5639.65,5620.0,1,1
2025-04-02T15:25:00+00:00,SPX,DRIFTING,REBUILD,Drift persisted and rebuild cooldown passed.,NEUTRAL,5655.2,5620.0,3,1
2025-04-02T15:30:00+00:00,SPX,REBUILD,ABORT,Regime turned TREND_UP.,TREND_UP,5658.5,5620.0,3,1
2025-04-02T18:40:00+00:00,SPX,ABORT,IDLE,Range conditions returned after abort.,RANGE,5654.92,5625.0,0,0
2025-04-02T18:40:00+00:00,SPX,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,5654.92,5660.0,0,1
2025-04-02T18:45:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5654.22,5665.0,1,1
2025-04-02T18:50:00+00:00,SPX,DRIFTING,REBUILD,Drift persisted and rebuild cooldown passed.,RANGE,5650.09,5665.0,2,1
2025-04-02T18:55:00+00:00,SPX,REBUILD,ACTIVE_CENTERED,Rebuilt corridor around the new center.,RANGE,5633.3,5660.0,0,1
2025-04-02T19:00:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5648.86,5665.0,1,1
2025-04-02T19:10:00+00:00,SPX,DRIFTING,REBUILD,Drift persisted and rebuild cooldown passed.,RANGE,5643.11,5660.0,3,1
2025-04-02T19:15:00+00:00,SPX,REBUILD,ACTIVE_CENTERED,Rebuilt corridor around the new center.,RANGE,5641.59,5660.0,0,1
2025-04-02T19:20:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5649.35,5660.0,1,1
2025-04-02T19:30:00+00:00,SPX,DRIFTING,REBUILD,Drift persisted and rebuild cooldown passed.,RANGE,5663.6,5660.0,3,1
2025-04-02T19:35:00+00:00,SPX,REBUILD,IDLE,Outside valid trading window.,RANGE,5662.12,5660.0,3,1
2025-04-03T13:30:00+00:00,SPX,IDLE,ABORT,Regime turned TREND_DOWN.,TREND_DOWN,5494.35,,0,0
2025-04-03T19:05:00+00:00,SPX,ABORT,IDLE,Range conditions returned after abort.,RANGE,5434.96,5655.0,0,0
2025-04-03T19:05:00+00:00,SPX,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,5434.96,5450.0,0,1
2025-04-03T19:10:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5430.28,5445.0,1,1
2025-04-03T19:15:00+00:00,SPX,DRIFTING,REBUILD,Drift persisted and rebuild cooldown passed.,NEUTRAL,5415.54,5445.0,2,1
2025-04-03T19:20:00+00:00,SPX,REBUILD,ACTIVE_CENTERED,Rebuilt corridor around the new center.,NEUTRAL,5414.83,5445.0,0,1
2025-04-03T19:25:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,NEUTRAL,5410.82,5440.0,1,1
2025-04-03T19:35:00+00:00,SPX,DRIFTING,IDLE,Outside valid trading window.,TREND_DOWN,5407.42,5440.0,2,1
2025-04-03T19:40:00+00:00,SPX,IDLE,ABORT,Regime turned TREND_DOWN.,TREND_DOWN,5414.64,,0,0
2025-04-15T15:00:00+00:00,SPX,ABORT,IDLE,Range conditions returned after abort.,RANGE,5431.9,5435.0,0,0
2025-04-15T15:00:00+00:00,SPX,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,5431.9,5430.0,0,1
2025-04-15T15:05:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5426.46,5430.0,1,1
2025-04-15T15:20:00+00:00,SPX,DRIFTING,REBUILD,Drift persisted and rebuild cooldown passed.,RANGE,5435.12,5430.0,4,1
2025-04-15T15:25:00+00:00,SPX,REBUILD,ACTIVE_CENTERED,Rebuilt corridor around the new center.,RANGE,5419.96,5430.0,0,1
2025-04-15T15:30:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5424.04,5430.0,1,1
2025-04-15T15:40:00+00:00,SPX,DRIFTING,REBUILD,Drift persisted and rebuild cooldown passed.,RANGE,5421.75,5430.0,3,1
2025-04-15T15:45:00+00:00,SPX,REBUILD,ACTIVE_CENTERED,Rebuilt corridor around the new center.,RANGE,5417.02,5425.0,0,1
2025-04-15T15:55:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5427.51,5425.0,1,1
2025-04-15T16:00:00+00:00,SPX,DRIFTING,REBUILD,Drift persisted and rebuild cooldown passed.,RANGE,5431.07,5425.0,2,1
2025-04-15T16:05:00+00:00,SPX,REBUILD,ACTIVE_CENTERED,Rebuilt corridor around the new center.,RANGE,5425.7,5425.0,0,1
2025-04-15T16:20:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5430.35,5425.0,1,1
2025-04-15T16:25:00+00:00,SPX,DRIFTING,ACTIVE_CENTERED,Price returned to the center band.,RANGE,5428.09,5430.0,0,1
2025-04-15T16:30:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5425.86,5430.0,1,1
2025-04-15T16:35:00+00:00,SPX,DRIFTING,REBUILD,Drift persisted and rebuild cooldown passed.,RANGE,5420.92,5425.0,2,1
2025-04-15T16:40:00+00:00,SPX,REBUILD,ACTIVE_CENTERED,Rebuilt corridor around the new center.,RANGE,5424.9,5425.0,0,1
2025-04-15T16:50:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5412.98,5425.0,1,1
2025-04-15T16:55:00+00:00,SPX,DRIFTING,REBUILD,Drift persisted and rebuild cooldown passed.,RANGE,5407.99,5425.0,2,1
2025-04-15T17:00:00+00:00,SPX,REBUILD,ACTIVE_CENTERED,Rebuilt corridor around the new center.,RANGE,5413.75,5425.0,0,1
2025-04-15T17:05:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5409.91,5425.0,1,1
2025-04-15T17:15:00+00:00,SPX,DRIFTING,REBUILD,Drift persisted and rebuild cooldown passed.,RANGE,5404.24,5425.0,3,1
2025-04-15T17:20:00+00:00,SPX,REBUILD,ACTIVE_CENTERED,Rebuilt corridor around the new center.,RANGE,5397.9,5420.0,0,1
2025-04-15T17:25:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5395.76,5420.0,1,1
2025-04-15T17:35:00+00:00,SPX,DRIFTING,REBUILD,Drift persisted and rebuild cooldown passed.,RANGE,5404.57,5420.0,3,1
2025-04-15T17:40:00+00:00,SPX,REBUILD,ACTIVE_CENTERED,Rebuilt corridor around the new center.,RANGE,5406.77,5420.0,0,1
2025-04-15T17:45:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5407.34,5420.0,1,1
2025-04-15T17:55:00+00:00,SPX,DRIFTING,REBUILD,Drift persisted and rebuild cooldown passed.,RANGE,5401.3,5420.0,3,1
2025-04-15T18:00:00+00:00,SPX,REBUILD,ACTIVE_CENTERED,Rebuilt corridor around the new center.,RANGE,5398.45,5415.0,0,1
2025-04-15T18:05:00+00:00,SPX,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,5398.23,5415.0,1,1
2025-04-15T18:15:00+00:00,SPX,DRIFTING,REBUILD,Drift persisted and rebuild cooldown passed.,RANGE,5388.47,5415.0,3,1
2025-04-15T18:20:00+00:00,SPX,REBUILD,ACTIVE_CENTERED,Rebuilt corridor around the new center.,RANGE,5391.28,5415.0,0,1
