timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,lower_width,upper_width,wing_mode,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,modeled_max_loss,contracts_per_layer,option_multiplier,primary_return_pct,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile,drift_distance,drift_count
2025-04-02T14:05:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5611.97,5605.0,1.0,Opened the primary butterfly corridor layer.,PRIMARY,5505.0,5605.0,5665.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2025-04-02T14:10:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5613.23,5605.0,1.0,Primary take-profit reached.,PRIMARY,5505.0,5605.0,5665.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,0.2217,14.7659,17.4576,2.6799,5.4576,0.086,conservative,,
2025-04-02T14:25:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5629.9,5605.0,2.0,Opened the primary butterfly corridor layer.,PRIMARY,5505.0,5605.0,5665.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2025-04-02T14:30:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5631.62,5610.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,,,21.62,
2025-04-02T15:05:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5642.41,5615.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,,,,,,,,,,,,27.41,8.0
2025-04-02T15:10:00+00:00,SPX,REBUILT,REBUILD,5633.26,5605.0,2.0,Removed prior layers for rebuild.,PRIMARY,5505.0,5605.0,5665.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,,13.6884,16.19,1.6024,4.19,0.086,conservative,,
2025-04-02T15:10:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5633.26,5620.0,3.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5520.0,5620.0,5680.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2025-04-02T15:15:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5639.65,5620.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,,,19.65,
2025-04-02T15:30:00+00:00,SPX,ABORTED,DRIFTING,5658.5,5620.0,3.0,Regime turned TREND_UP.,PRIMARY,5520.0,5620.0,5680.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,,13.0885,15.4842,1.0025,3.4842,0.086,conservative,,
2025-04-15T15:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5424.04,5430.0,4.0,Opened the primary butterfly corridor layer.,PRIMARY,5330.0,5430.0,5490.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2025-04-15T15:35:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5421.24,5430.0,4.0,Primary take-profit reached.,PRIMARY,5330.0,5430.0,5490.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,0.2355,14.932,17.653,2.846,5.653,0.086,conservative,,
2025-04-15T15:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5427.51,5425.0,5.0,Opened the primary butterfly corridor layer.,PRIMARY,5325.0,5425.0,5485.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2025-04-15T16:00:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5431.07,5425.0,5.0,Primary take-profit reached.,PRIMARY,5325.0,5425.0,5485.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,0.2317,14.8865,17.5995,2.8005,5.5995,0.086,conservative,,
2025-04-15T16:05:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5425.7,5425.0,6.0,Opened the primary butterfly corridor layer.,PRIMARY,5325.0,5425.0,5485.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2025-04-15T16:10:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5426.4,5425.0,6.0,Primary take-profit reached.,PRIMARY,5325.0,5425.0,5485.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,0.2533,15.1473,17.9063,3.0613,5.9063,0.086,conservative,,
2025-04-15T16:15:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5424.74,5425.0,7.0,Opened the primary butterfly corridor layer.,PRIMARY,5325.0,5425.0,5485.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2025-04-15T16:20:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5430.35,5425.0,7.0,Primary take-profit reached.,PRIMARY,5325.0,5425.0,5485.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,0.235,14.9267,17.6468,2.8407,5.6468,0.086,conservative,,
2025-04-15T16:25:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5428.09,5430.0,8.0,Opened the primary butterfly corridor layer.,PRIMARY,5330.0,5430.0,5490.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2025-04-15T16:30:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,5425.86,5430.0,8.0,Primary take-profit reached.,PRIMARY,5330.0,5430.0,5490.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,0.2483,15.0867,17.8351,3.0007,5.8351,0.086,conservative,,
2025-04-15T16:40:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5424.9,5425.0,9.0,Opened the primary butterfly corridor layer.,PRIMARY,5325.0,5425.0,5485.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
