config_name,wing_mode,broken_wing_extra_width,butterfly_width,coverage_band_width,center_tolerance,recenter_threshold,drift_persistence_bars,rebuild_cooldown_minutes,net_dollar_pnl,return_on_capital,max_drawdown_dollars,corridor_occupancy_rate,average_rebuilds_per_day,closed_layers,win_rate_by_closed_layer,profit_factor_by_closed_layer,profit_factor_by_day,best_day_pnl_dollars,worst_day_pnl_dollars,max_gross_deployment_dollars,max_modeled_capital_at_risk_dollars
broken_upper_bw40_w60_tol12p5_rt16_dp8_cd60,broken_upper,40.0,60.0,120.0,12.5,16.0,8,60,674036.74,6.740367,-1704.1899999999998,0.5972,0.204,2413,0.997513,282.41026,1055.830119,6931.4527,-358.1897,10417.2,10428.4
broken_upper_bw40_w60_tol12p5_rt14_dp8_cd60,broken_upper,40.0,60.0,120.0,12.5,14.0,8,60,673892.9223,6.738929,-1704.1899999999998,0.5972,0.212,2418,0.997519,282.350232,1055.605052,6931.4527,-358.1897,10417.2,10428.4
broken_upper_bw40_w60_tol15_rt16_dp8_cd60,broken_upper,40.0,60.0,120.0,15.0,16.0,8,60,673365.9965,6.73366,-2198.11,0.656,0.16,2416,0.996689,188.006596,384.841405,6931.4527,-1115.2815,10417.2,10428.4
broken_upper_bw40_w60_tol15_rt14_dp8_cd60,broken_upper,40.0,60.0,120.0,15.0,14.0,8,60,673344.1586,6.733442,-2198.11,0.656,0.164,2421,0.996696,188.000536,384.828957,6931.4527,-1115.2815,10417.2,10428.4
broken_upper_bw40_w60_tol12p5_rt16_dp8_cd90,broken_upper,40.0,60.0,120.0,12.5,16.0,8,90,671119.0267,6.71119,-1704.1899999999998,0.5972,0.188,2402,0.997086,279.999322,1051.264059,6931.4527,-358.1897,10417.2,10428.4
broken_upper_bw40_w60_tol12p5_rt14_dp8_cd90,broken_upper,40.0,60.0,120.0,12.5,14.0,8,90,671082.3066,6.710823,-1704.1899999999998,0.5972,0.192,2407,0.997507,281.176786,1051.206594,6931.4527,-358.1897,10417.2,10428.4
broken_upper_bw40_w60_tol10_rt14_dp8_cd60,broken_upper,40.0,60.0,120.0,10.0,14.0,8,60,670049.3235,6.700493,-1704.1899999999998,0.5177,0.24,2407,0.997507,280.745517,1049.590033,6931.4527,-358.1897,10417.2,10428.4
broken_upper_bw40_w60_tol10_rt16_dp8_cd60,broken_upper,40.0,60.0,120.0,10.0,16.0,8,60,669694.586,6.696946,-1704.1899999999998,0.5177,0.232,2400,0.9975,280.597392,1049.034889,6931.4527,-358.1897,10417.2,10428.4
broken_upper_bw40_w60_tol15_rt14_dp8_cd90,broken_upper,40.0,60.0,120.0,15.0,14.0,8,90,668462.645,6.684626,-2198.11,0.656,0.148,2407,0.996261,140.644137,261.677155,6931.4527,-1115.2815,10417.2,10428.4
broken_upper_bw40_w60_tol15_rt16_dp8_cd90,broken_upper,40.0,60.0,120.0,15.0,16.0,8,90,668428.835,6.684288,-2198.11,0.656,0.144,2402,0.995837,140.339,382.027056,6931.4527,-1115.2815,10417.2,10428.4
broken_upper_bw40_w60_tol10_rt14_dp8_cd90,broken_upper,40.0,60.0,120.0,10.0,14.0,8,90,667510.4018,6.675104,-1704.1899999999998,0.5177,0.22,2397,0.997497,279.685501,1045.616761,6931.4527,-358.1897,10417.2,10428.4
broken_upper_bw40_w60_tol10_rt16_dp8_cd90,broken_upper,40.0,60.0,120.0,10.0,16.0,8,90,667100.0165,6.671,-1704.1899999999998,0.5177,0.212,2390,0.997071,278.328508,1044.974531,6931.4527,-358.1897,10417.2,10428.4
broken_upper_bw40_w60_tol15_rt18_dp8_cd60,broken_upper,40.0,60.0,120.0,15.0,18.0,8,60,666678.6644,6.666787,-2198.11,0.656,0.152,2392,0.996656,186.149399,381.029399,6931.4527,-1115.2815,10417.2,10428.4
broken_upper_bw40_w60_tol12p5_rt14_dp10_cd60,broken_upper,40.0,60.0,120.0,12.5,14.0,10,60,665089.9979,6.6509,-2196.61,0.5972,0.176,2387,0.997067,140.035149,379.925577,6931.4527,-1116.1993,10417.2,10428.4
broken_upper_bw40_w60_tol12p5_rt18_dp8_cd60,broken_upper,40.0,60.0,120.0,12.5,18.0,8,60,664130.3311,6.641303,-1704.1899999999998,0.5972,0.188,2378,0.997477,278.274339,1040.327138,6931.4527,-358.1897,10417.2,10428.4
broken_upper_bw40_w60_tol10_rt14_dp10_cd60,broken_upper,40.0,60.0,120.0,10.0,14.0,10,60,664078.8165,6.640788,-2144.31,0.5177,0.196,2381,0.99748,186.278457,398.485334,6931.4527,-1031.6999,10417.2,10428.4
broken_upper_bw40_w60_tol15_rt14_dp10_cd60,broken_upper,40.0,60.0,120.0,15.0,14.0,10,60,663979.1728,6.639792,-2201.7,0.656,0.132,2383,0.996643,139.791904,379.490598,6931.4527,-1115.2815,10417.2,10428.4
broken_upper_bw40_w60_tol12p5_rt16_dp10_cd60,broken_upper,40.0,60.0,120.0,12.5,16.0,10,60,663830.5746,6.638306,-2196.61,0.5972,0.164,2382,0.997061,139.771873,379.208039,6931.4527,-1116.1993,10417.2,10428.4
broken_upper_bw40_w60_tol15_rt16_dp10_cd60,broken_upper,40.0,60.0,120.0,15.0,16.0,10,60,663789.034,6.63789,-2201.7,0.656,0.128,2382,0.996641,139.752157,379.382212,6931.4527,-1115.2815,10417.2,10428.4
broken_upper_bw40_w60_tol10_rt16_dp10_cd60,broken_upper,40.0,60.0,120.0,10.0,16.0,10,60,662537.3307,6.625373,-2144.31,0.5177,0.184,2375,0.997474,185.848385,397.562675,6931.4527,-1031.6999,10417.2,10428.4
