timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,contracts_per_layer,option_multiplier,drift_distance,drift_count,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile
2025-03-31T17:50:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5561.02,5555.0,1.0,Opened the primary butterfly corridor layer.,PRIMARY,5525.0,5555.0,5585.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-03-31T18:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5566.62,5555.0,,Corridor drift started.,,,,,,,,,,,,,11.62,,,,,,,
2025-03-31T18:25:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5590.5,5560.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,30.5,6.0,,,,,,
2025-03-31T18:30:00+00:00,SPX,REBUILT,REBUILD,5593.76,5555.0,1.0,Removed prior layers for rebuild.,PRIMARY,5525.0,5555.0,5585.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,0.0,0.0,-6.656,-6.6,0.056,none
2025-03-31T18:30:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5593.76,5565.0,2.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5535.0,5565.0,5595.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-03-31T18:35:00+00:00,SPX,ABORTED,ACTIVE_CENTERED,5596.19,5565.0,2.0,Regime turned TREND_UP.,PRIMARY,5535.0,5565.0,5595.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,0.2594,0.3154,-6.3966,-6.2846,0.056,none
2025-04-01T19:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5614.64,5610.0,3.0,Opened the primary butterfly corridor layer.,PRIMARY,5580.0,5610.0,5640.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-04-01T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,5618.42,5610.0,3.0,Session window closed.,PRIMARY,5580.0,5610.0,5640.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,10.4352,10.4912,3.7792,3.8912,0.056,none
2025-04-02T13:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5611.07,5605.0,4.0,Opened the primary butterfly corridor layer.,PRIMARY,5575.0,5605.0,5635.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-04-02T14:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5625.8,5605.0,,Corridor drift started.,,,,,,,,,,,,,20.8,,,,,,,
2025-04-02T14:05:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,5611.97,5605.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,
2025-04-02T14:10:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,5613.23,5610.0,5.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5580.0,5610.0,5640.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-04-02T14:15:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5623.31,5605.0,,Corridor drift started.,,,,,,,,,,,,,18.31,,,,,,,
2025-04-02T14:40:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5629.5,5610.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,19.5,6.0,,,,,,
2025-04-02T14:45:00+00:00,SPX,REBUILT,REBUILD,5634.28,5605.0,4.0,Removed prior layers for rebuild.,PRIMARY,5575.0,5605.0,5635.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,8.2702,8.3262,1.6142,1.7262,0.056,none
2025-04-02T14:45:00+00:00,SPX,REBUILT,REBUILD,5634.28,5610.0,5.0,Removed prior layers for rebuild.,SUPPLEMENTAL,5580.0,5610.0,5640.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,8.7917,8.8477,2.1357,2.2477,0.056,none
2025-04-02T14:45:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5634.28,5610.0,6.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5580.0,5610.0,5640.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-04-02T14:50:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5634.56,5610.0,,Corridor drift started.,,,,,,,,,,,,,24.56,,,,,,,
2025-04-02T15:30:00+00:00,SPX,ABORTED,DRIFTING,5658.5,5610.0,6.0,Regime turned TREND_UP.,PRIMARY,5580.0,5610.0,5640.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,0.0,0.0,-6.656,-6.6,0.056,none
