config_name,stage,butterfly_width,coverage_band_width,center_tolerance,recenter_threshold,drift_persistence_bars,rebuild_cooldown_minutes,max_layers,primary_stop_loss_pct,primary_take_profit_pct,net_dollar_pnl,return_on_capital,max_drawdown_dollars,corridor_occupancy_rate,average_rebuilds_per_day,closed_layers,win_rate_by_closed_layer,profit_factor_by_closed_layer,profit_factor_by_day,best_day_pnl_dollars,worst_day_pnl_dollars,max_gross_deployment_dollars
refine_w80_cb160_tol12p5_rt16_dp8_cd60_ml2_sl0p2_tp0p2,refine,80.0,160.0,12.5,16.0,8,60,2,0.2,0.2,91437.455,0.914375,-1384.7,0.5972,0.452,561,0.97148,205.252195,380.120024,1628.1807,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt16_dp8_cd60_ml2_sl0p2_tp0p25,refine,80.0,160.0,12.5,16.0,8,60,2,0.2,0.25,91437.455,0.914375,-1384.7,0.5972,0.452,561,0.97148,205.252195,380.120024,1628.1807,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt16_dp8_cd60_ml2_sl0p2_tp0p15,refine,80.0,160.0,12.5,16.0,8,60,2,0.2,0.15,91437.455,0.914375,-1384.7,0.5972,0.452,561,0.97148,205.252195,380.120024,1628.1807,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt16_dp8_cd60_ml2_sl0p25_tp0p15,refine,80.0,160.0,12.5,16.0,8,60,2,0.25,0.15,91437.455,0.914375,-1384.7,0.5972,0.452,561,0.97148,205.252195,380.120024,1628.1807,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt16_dp8_cd60_ml2_sl0p25_tp0p25,refine,80.0,160.0,12.5,16.0,8,60,2,0.25,0.25,91437.455,0.914375,-1384.7,0.5972,0.452,561,0.97148,205.252195,380.120024,1628.1807,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt16_dp8_cd60_ml2_sl0p25_tp0p2,refine,80.0,160.0,12.5,16.0,8,60,2,0.25,0.2,91437.455,0.914375,-1384.7,0.5972,0.452,561,0.97148,205.252195,380.120024,1628.1807,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt16_dp8_cd60_ml2_sl0p3_tp0p15,refine,80.0,160.0,12.5,16.0,8,60,2,0.3,0.15,91437.455,0.914375,-1384.7,0.5972,0.452,561,0.97148,205.252195,380.120024,1628.1807,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt16_dp8_cd60_ml2_sl0p3_tp0p2,refine,80.0,160.0,12.5,16.0,8,60,2,0.3,0.2,91437.455,0.914375,-1384.7,0.5972,0.452,561,0.97148,205.252195,380.120024,1628.1807,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt16_dp8_cd60_ml2_sl0p3_tp0p25,refine,80.0,160.0,12.5,16.0,8,60,2,0.3,0.25,91437.455,0.914375,-1384.7,0.5972,0.452,561,0.97148,205.252195,380.120024,1628.1807,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt16_dp8_cd90_ml2_sl0p2_tp0p15,refine,80.0,160.0,12.5,16.0,8,90,2,0.2,0.15,89917.7664,0.899178,-1384.7,0.5972,0.408,551,0.969147,188.575109,373.819057,1478.9124,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt16_dp8_cd90_ml2_sl0p2_tp0p2,refine,80.0,160.0,12.5,16.0,8,90,2,0.2,0.2,89917.7664,0.899178,-1384.7,0.5972,0.408,551,0.969147,188.575109,373.819057,1478.9124,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt16_dp8_cd90_ml2_sl0p2_tp0p25,refine,80.0,160.0,12.5,16.0,8,90,2,0.2,0.25,89917.7664,0.899178,-1384.7,0.5972,0.408,551,0.969147,188.575109,373.819057,1478.9124,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt16_dp8_cd90_ml2_sl0p25_tp0p15,refine,80.0,160.0,12.5,16.0,8,90,2,0.25,0.15,89917.7664,0.899178,-1384.7,0.5972,0.408,551,0.969147,188.575109,373.819057,1478.9124,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt16_dp8_cd90_ml2_sl0p25_tp0p2,refine,80.0,160.0,12.5,16.0,8,90,2,0.25,0.2,89917.7664,0.899178,-1384.7,0.5972,0.408,551,0.969147,188.575109,373.819057,1478.9124,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt16_dp8_cd90_ml2_sl0p25_tp0p25,refine,80.0,160.0,12.5,16.0,8,90,2,0.25,0.25,89917.7664,0.899178,-1384.7,0.5972,0.408,551,0.969147,188.575109,373.819057,1478.9124,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt16_dp8_cd90_ml2_sl0p3_tp0p15,refine,80.0,160.0,12.5,16.0,8,90,2,0.3,0.15,89917.7664,0.899178,-1384.7,0.5972,0.408,551,0.969147,188.575109,373.819057,1478.9124,-115.9196,6361.8
refine_w80_cb160_tol12p5_rt16_dp8_cd90_ml2_sl0p3_tp0p2,refine,80.0,160.0,12.5,16.0,8,90,2,0.3,0.2,89917.7664,0.899178,-1384.7,0.5972,0.408,551,0.969147,188.575109,373.819057,1478.9124,-115.9196,6361.8
