config_name,stage,butterfly_width,coverage_band_width,center_tolerance,recenter_threshold,drift_persistence_bars,rebuild_cooldown_minutes,max_layers,primary_stop_loss_pct,primary_take_profit_pct,net_dollar_pnl,return_on_capital,max_drawdown_dollars,corridor_occupancy_rate,average_rebuilds_per_day,closed_layers,win_rate_by_closed_layer,profit_factor_by_closed_layer,profit_factor_by_day,best_day_pnl_dollars,worst_day_pnl_dollars,max_gross_deployment_dollars
structural_w80_cb160_tol12p5_rt16_dp8_cd60_ml2_sl0p25_tp0p2,structural,80.0,160.0,12.5,16.0,8,60,2,0.25,0.2,91437.455,0.914375,-1384.7,0.5972,0.452,561,0.97148,205.252195,380.120024,1628.1807,-115.9196,6361.8
structural_w80_cb160_tol12p5_rt16_dp8_cd90_ml2_sl0p25_tp0p2,structural,80.0,160.0,12.5,16.0,8,90,2,0.25,0.2,89917.7664,0.899178,-1384.7,0.5972,0.408,551,0.969147,188.575109,373.819057,1478.9124,-115.9196,6361.8
structural_w80_cb160_tol12p5_rt18_dp8_cd60_ml2_sl0p25_tp0p2,structural,80.0,160.0,12.5,18.0,8,60,2,0.25,0.2,88877.5771,0.888776,-1384.7,0.5972,0.416,547,0.968921,195.276624,369.506201,1626.134,-115.9196,6361.8
structural_w80_cb160_tol12p5_rt18_dp8_cd90_ml2_sl0p25_tp0p2,structural,80.0,160.0,12.5,18.0,8,90,2,0.25,0.2,87280.7169,0.872807,-1384.7,0.5972,0.368,536,0.966418,179.422667,362.885263,1478.9124,-115.9196,6361.8
structural_w80_cb160_tol12p5_rt16_dp10_cd60_ml2_sl0p25_tp0p2,structural,80.0,160.0,12.5,16.0,10,60,2,0.25,0.2,86914.7019,0.869147,-1432.79,0.5972,0.348,530,0.967925,178.442326,237.612749,1676.0339,-126.1455,6361.8
structural_w80_cb160_tol12p5_rt16_dp10_cd90_ml2_sl0p25_tp0p2,structural,80.0,160.0,12.5,16.0,10,90,2,0.25,0.2,85645.0704,0.856451,-1432.79,0.5972,0.316,522,0.965517,165.222216,234.156361,1510.7215,-126.1455,6361.8
structural_w80_cb160_tol12p5_rt20_dp8_cd60_ml2_sl0p25_tp0p2,structural,80.0,160.0,12.5,20.0,8,60,2,0.25,0.2,85172.9887,0.85173,-1384.7,0.5972,0.336,521,0.96929,191.105841,354.146153,1478.9124,-115.9196,6361.8
structural_w80_cb160_tol12p5_rt20_dp8_cd90_ml2_sl0p25_tp0p2,structural,80.0,160.0,12.5,20.0,8,90,2,0.25,0.2,84467.8007,0.844678,-1384.7,0.5972,0.312,516,0.967054,177.073896,351.222287,1478.9124,-115.9196,6361.8
structural_w80_cb160_tol12p5_rt18_dp10_cd60_ml2_sl0p25_tp0p2,structural,80.0,160.0,12.5,18.0,10,60,2,0.25,0.2,84306.9109,0.843069,-1432.79,0.5972,0.308,516,0.967054,173.11835,230.513414,1676.0339,-126.1455,6361.8
structural_w80_cb160_tol15_rt16_dp8_cd60_ml2_sl0p25_tp0p2,structural,80.0,160.0,15.0,16.0,8,60,2,0.25,0.2,84306.5021,0.843065,-1432.79,0.656,0.332,520,0.961538,118.338543,166.817599,1355.1548,-135.7399,6361.8
