metric,base,stressed
stress_profile,none,conservative
net_modeled_pnl,22555.9218,310.1894
net_dollar_pnl,2255592.182,31018.9362
return_on_capital,22.555922,0.310189
closed_layers,2674,481
winning_layers,2674,396
losing_layers,0,85
win_rate_by_closed_layer,1.0,0.823285
profit_factor_by_closed_layer,,2.809197
profit_factor_by_day,,3.02792
corridor_occupancy_rate,0.656,0.656
average_rebuilds_per_day,0.0,0.212
best_day_pnl_dollars,20904.4727,837.6529
worst_day_pnl_dollars,0.0,-3159.1995
max_drawdown,-2.6996,-70.6309
max_gross_deployment_dollars,1325.6,4777.8
max_modeled_capital_at_risk_dollars,1331.2,4794.6
