config_name,butterfly_width,coverage_band,recenter_threshold,drift_persistence_bars,rebuild_cooldown,corridor_occupancy_rate,average_rebuilds_per_day,closed_layers,win_rate_by_closed_layer,profit_factor_by_closed_layer,profit_factor_by_day,return_on_capital,best_day_pnl_dollars,worst_day_pnl_dollars,max_gross_deployment_dollars,is_viable,structural_score
w40_cb80_rt7_dp6_cd45,40.0,80.0,7.0,6,45,0.1482,2.916,1347,0.933927,7.891263,24.950714,5.339124,6179.7117,-4401.183,3542.4,False,0.71856
w30_cb60_rt7_dp6_cd45,30.0,60.0,7.0,6,45,0.1482,2.916,1347,0.857461,3.144646,6.926883,2.717275,3682.3732,-3764.4564,2662.4,False,0.71856
w30_cb80_rt7_dp6_cd45,30.0,80.0,7.0,6,45,0.1482,2.916,1347,0.857461,3.144646,6.926883,2.717275,3682.3732,-3764.4564,2662.4,False,0.71856
w20_cb40_rt7_dp6_cd45,20.0,40.0,7.0,6,45,0.1482,2.916,1347,0.688196,1.075101,1.134148,0.139809,2228.3843,-3113.7653,1782.4,False,0.71856
w20_cb60_rt7_dp6_cd45,20.0,60.0,7.0,6,45,0.1482,2.916,1347,0.688196,1.075101,1.134148,0.139809,2228.3843,-3113.7653,1782.4,False,0.71856
w20_cb80_rt7_dp6_cd45,20.0,80.0,7.0,6,45,0.1482,2.916,1347,0.688196,1.075101,1.134148,0.139809,2228.3843,-3113.7653,1782.4,False,0.71856
w40_cb80_rt5p25_dp6_cd45,40.0,80.0,5.25,6,45,0.1482,3.2,1437,0.938065,8.562926,28.92552,5.859464,6235.4033,-4401.183,3542.4,False,0.69981
w30_cb60_rt5p25_dp6_cd45,30.0,60.0,5.25,6,45,0.1482,3.2,1437,0.864301,3.388865,8.117848,3.073431,4475.7875,-3764.4564,2662.4,False,0.69981
w30_cb80_rt5p25_dp6_cd45,30.0,80.0,5.25,6,45,0.1482,3.2,1437,0.864301,3.388865,8.117848,3.073431,4475.7875,-3764.4564,2662.4,False,0.69981
w20_cb40_rt5p25_dp6_cd45,20.0,40.0,5.25,6,45,0.1482,3.2,1437,0.7119,1.223428,1.431737,0.409953,2716.7121,-3113.7653,1782.4,False,0.69981
w20_cb60_rt5p25_dp6_cd45,20.0,60.0,5.25,6,45,0.1482,3.2,1437,0.7119,1.223428,1.431737,0.409953,2716.7121,-3113.7653,1782.4,False,0.69981
w20_cb80_rt5p25_dp6_cd45,20.0,80.0,5.25,6,45,0.1482,3.2,1437,0.7119,1.223428,1.431737,0.409953,2716.7121,-3113.7653,1782.4,False,0.69981
w40_cb80_rt7_dp4_cd45,40.0,80.0,7.0,4,45,0.1482,3.416,1482,0.936572,8.341672,34.024925,5.979229,5995.2346,-2697.3055,3542.4,False,0.682026
