timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,contracts_per_layer,option_multiplier,drift_distance,drift_count,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost
2025-03-31T17:50:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5561.02,5555.0,1.0,Opened the primary butterfly corridor layer.,PRIMARY,5525.0,5555.0,5585.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,
2025-03-31T17:55:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,5553.01,5555.0,2.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5525.0,5555.0,5585.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,
2025-03-31T18:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5566.62,5555.0,,Corridor drift started.,,,,,,,,,,,,,11.62,,,,,,
2025-03-31T18:25:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5590.5,5560.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,30.5,6.0,,,,,
2025-03-31T18:30:00+00:00,SPX,REBUILT,REBUILD,5593.76,5555.0,1.0,Removed prior layers for rebuild.,PRIMARY,5525.0,5555.0,5585.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,0.0,0.0,-6.656,-6.6,0.056
2025-03-31T18:30:00+00:00,SPX,REBUILT,REBUILD,5593.76,5555.0,2.0,Removed prior layers for rebuild.,SUPPLEMENTAL,5525.0,5555.0,5585.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,0.0,0.0,-6.656,-6.6,0.056
2025-03-31T18:30:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5593.76,5565.0,3.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5535.0,5565.0,5595.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,
2025-03-31T18:35:00+00:00,SPX,ABORTED,ACTIVE_CENTERED,5596.19,5565.0,3.0,Regime turned TREND_UP.,PRIMARY,5535.0,5565.0,5595.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,0.2594,0.3154,-6.3966,-6.2846,0.056
2025-04-01T19:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5614.64,5610.0,4.0,Opened the primary butterfly corridor layer.,PRIMARY,5580.0,5610.0,5640.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,
2025-04-01T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,5618.42,5610.0,4.0,Session window closed.,PRIMARY,5580.0,5610.0,5640.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,10.4352,10.4912,3.7792,3.8912,0.056
2025-04-02T13:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,5611.07,5605.0,5.0,Opened the primary butterfly corridor layer.,PRIMARY,5575.0,5605.0,5635.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,
2025-04-02T14:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5625.8,5605.0,,Corridor drift started.,,,,,,,,,,,,,20.8,,,,,,
2025-04-02T14:25:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5629.9,5605.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,24.9,6.0,,,,,
2025-04-02T14:30:00+00:00,SPX,REBUILT,REBUILD,5631.62,5605.0,5.0,Removed prior layers for rebuild.,PRIMARY,5575.0,5605.0,5635.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,8.5442,8.6002,1.8882,2.0002,0.056
2025-04-02T14:30:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5631.62,5610.0,6.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5580.0,5610.0,5640.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,
2025-04-02T14:35:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5631.64,5610.0,,Corridor drift started.,,,,,,,,,,,,,21.64,,,,,,
2025-04-02T15:00:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5641.01,5615.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,26.01,6.0,,,,,
2025-04-02T15:05:00+00:00,SPX,REBUILT,REBUILD,5642.41,5610.0,6.0,Removed prior layers for rebuild.,PRIMARY,5580.0,5610.0,5640.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,0.1979,0.2539,-6.4581,-6.3461,0.056
2025-04-02T15:05:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,5642.41,5615.0,7.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5585.0,5615.0,5645.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,
2025-04-02T15:10:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5633.26,5620.0,,Corridor drift started.,,,,,,,,,,,,,13.26,,,,,,
