timestamp,symbol,from_state,to_state,reason,regime,price,center_price,drift_count,layer_count
2025-03-28T17:25:00+00:00,SPY,IDLE,ABORT,Regime turned TREND_DOWN.,TREND_DOWN,555.39,,0,0
2025-03-28T18:10:00+00:00,SPY,ABORT,IDLE,Range conditions returned after abort.,RANGE,556.33,558.0,0,0
2025-03-28T18:10:00+00:00,SPY,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,556.33,557.0,0,1
2025-03-28T19:35:00+00:00,SPY,ACTIVE_CENTERED,IDLE,Outside valid trading window.,RANGE,555.48,556.0,0,1
2025-03-31T13:30:00+00:00,SPY,IDLE,ABORT,Regime turned TREND_DOWN.,TREND_DOWN,548.69,,0,0
2025-03-31T17:50:00+00:00,SPY,ABORT,IDLE,Range conditions returned after abort.,RANGE,554.01,555.0,0,0
2025-03-31T17:50:00+00:00,SPY,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,554.01,553.0,0,1
2025-03-31T18:35:00+00:00,SPY,ACTIVE_CENTERED,ABORT,Regime turned TREND_UP.,TREND_UP,557.49,555.0,0,2
2025-04-02T14:00:00+00:00,SPY,ABORT,IDLE,Range conditions returned after abort.,RANGE,560.45,555.0,0,0
2025-04-02T14:00:00+00:00,SPY,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,560.45,559.0,0,1
2025-04-02T14:55:00+00:00,SPY,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,NEUTRAL,562.09,559.0,1,2
2025-04-02T15:00:00+00:00,SPY,DRIFTING,ACTIVE_CENTERED,Price returned to the center band.,NEUTRAL,561.95,560.0,0,2
2025-04-02T15:25:00+00:00,SPY,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,NEUTRAL,563.33,560.0,1,2
2025-04-02T15:30:00+00:00,SPY,DRIFTING,ABORT,Regime turned TREND_UP.,TREND_UP,563.6,560.0,1,2
2025-04-02T18:40:00+00:00,SPY,ABORT,IDLE,Range conditions returned after abort.,RANGE,563.35,560.0,0,0
2025-04-02T18:40:00+00:00,SPY,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,563.35,564.0,0,1
2025-04-02T19:35:00+00:00,SPY,ACTIVE_CENTERED,IDLE,Outside valid trading window.,RANGE,564.08,564.0,0,2
2025-04-03T13:30:00+00:00,SPY,IDLE,ABORT,Regime turned TREND_DOWN.,TREND_DOWN,547.51,,0,0
2025-04-03T19:05:00+00:00,SPY,ABORT,IDLE,Range conditions returned after abort.,RANGE,541.43,561.0,0,0
2025-04-03T19:05:00+00:00,SPY,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,541.43,543.0,0,1
2025-04-03T19:35:00+00:00,SPY,ACTIVE_CENTERED,IDLE,Outside valid trading window.,TREND_DOWN,538.64,541.0,0,2
2025-04-03T19:40:00+00:00,SPY,IDLE,ABORT,Regime turned TREND_DOWN.,TREND_DOWN,539.45,,0,0
2025-04-15T15:15:00+00:00,SPY,ABORT,IDLE,Range conditions returned after abort.,RANGE,541.47,541.0,0,0
2025-04-15T15:15:00+00:00,SPY,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,541.47,541.0,0,1
2025-04-15T19:35:00+00:00,SPY,ACTIVE_CENTERED,IDLE,Outside valid trading window.,RANGE,537.95,538.0,0,2
2025-04-16T13:30:00+00:00,SPY,IDLE,ABORT,Regime turned TREND_DOWN.,TREND_DOWN,532.88,,0,0
2025-04-16T17:25:00+00:00,SPY,ABORT,IDLE,Range conditions returned after abort.,RANGE,531.53,538.0,0,0
2025-04-16T17:25:00+00:00,SPY,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,531.53,532.0,0,1
2025-04-16T17:30:00+00:00,SPY,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,NEUTRAL,528.46,532.0,1,1
2025-04-16T17:40:00+00:00,SPY,DRIFTING,ABORT,Momentum expansion exceeded the abort threshold.,NEUTRAL,527.26,532.0,2,1
2025-04-17T18:40:00+00:00,SPY,ABORT,IDLE,Range conditions returned after abort.,RANGE,530.32,531.0,0,0
2025-04-17T18:40:00+00:00,SPY,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,530.32,529.0,0,1
2025-04-17T19:35:00+00:00,SPY,ACTIVE_CENTERED,IDLE,Outside valid trading window.,RANGE,527.91,529.0,0,1
2025-04-21T13:30:00+00:00,SPY,IDLE,ABORT,Regime turned TREND_DOWN.,TREND_DOWN,520.6,,0,0
2025-04-21T19:10:00+00:00,SPY,ABORT,IDLE,Range conditions returned after abort.,RANGE,510.04,528.0,0,0
2025-04-21T19:10:00+00:00,SPY,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,510.04,510.0,0,1
2025-04-21T19:35:00+00:00,SPY,ACTIVE_CENTERED,IDLE,Outside valid trading window.,RANGE,511.75,510.0,0,1
2025-04-22T13:30:00+00:00,SPY,IDLE,ABORT,Regime turned TREND_UP.,TREND_UP,519.43,,0,0
2025-04-23T19:20:00+00:00,SPY,ABORT,IDLE,Range conditions returned after abort.,RANGE,534.35,512.0,0,0
2025-04-23T19:20:00+00:00,SPY,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,534.35,537.0,0,1
2025-04-23T19:35:00+00:00,SPY,ACTIVE_CENTERED,IDLE,Outside valid trading window.,RANGE,534.33,537.0,0,2
2025-04-24T13:45:00+00:00,SPY,IDLE,ACTIVE_CENTERED,Entered range corridor.,RANGE,538.26,536.0,0,1
2025-04-24T13:55:00+00:00,SPY,ACTIVE_CENTERED,DRIFTING,Price moved outside the tolerance band.,RANGE,539.48,536.0,1,2
2025-04-24T14:00:00+00:00,SPY,DRIFTING,ACTIVE_CENTERED,Price returned to the center band.,RANGE,539.7,537.0,0,2
