symbol,structure,entry_time_utc,exit_time_utc,expiry_date,entry_underlying,exit_underlying,entry_value,exit_value,pnl_points,pnl_dollars,return_pct,sigma,exit_reason,legs
SPY,put_debit_spread,2025-04-11T19:25:00+00:00,2025-04-11T19:55:00+00:00,2025-04-16,534.74,533.98,30.4515,30.7257,0.2743,27.43,0.9007,1.04,signal_exit,BUY 10 SPY 2025-04-16 535 PUT ; SELL 10 SPY 2025-04-16 529 PUT
SPY,put_debit_spread,2025-04-30T19:40:00+00:00,2025-05-01T15:40:00+00:00,2025-05-05,551.29,562.06,24.5374,17.6118,-6.9257,-692.57,-28.2248,0.5183,signal_exit,BUY 10 SPY 2025-05-05 552 PUT ; SELL 10 SPY 2025-05-05 547 PUT
SPY,call_debit_spread,2025-05-07T18:25:00+00:00,2025-05-07T18:30:00+00:00,2025-05-12,557.98,559.34,35.2811,37.1047,1.8236,182.36,5.1688,0.3572,signal_exit,BUY 10 SPY 2025-05-12 557 CALL ; SELL 10 SPY 2025-05-12 565 CALL
SPY,put_debit_spread,2025-05-16T18:40:00+00:00,2025-05-16T19:30:00+00:00,2025-05-21,593.66,593.61,13.9687,14.0139,0.0453,4.53,0.3241,0.1721,signal_exit,BUY 10 SPY 2025-05-21 594 PUT ; SELL 10 SPY 2025-05-21 591 PUT
SPY,call_debit_spread,2025-05-20T18:35:00+00:00,2025-05-20T19:30:00+00:00,2025-05-23,591.46,591.99,20.7565,21.7911,1.0346,103.46,4.9846,0.1803,signal_exit,BUY 10 SPY 2025-05-23 591 CALL ; SELL 10 SPY 2025-05-23 596 CALL
SPY,call_debit_spread,2025-05-21T17:35:00+00:00,2025-05-21T19:35:00+00:00,2025-05-26,587.72,584.25,38.3188,32.8389,-5.4799,-547.99,-14.3007,0.3194,signal_exit,BUY 10 SPY 2025-05-26 587 CALL ; SELL 10 SPY 2025-05-26 596 CALL
SPY,put_debit_spread,2025-05-30T19:40:00+00:00,2025-06-02T13:30:00+00:00,2025-06-04,589.9,589.37,22.764,22.2693,-0.4947,-49.47,-2.1732,0.2708,signal_exit,BUY 10 SPY 2025-06-04 590 PUT ; SELL 10 SPY 2025-06-04 585 PUT
SPY,put_debit_spread,2025-06-02T18:20:00+00:00,2025-06-03T13:55:00+00:00,2025-06-05,591.26,592.39,22.8153,20.5993,-2.216,-221.6,-9.7128,0.2657,signal_exit,BUY 10 SPY 2025-06-05 592 PUT ; SELL 10 SPY 2025-06-05 587 PUT
SPY,call_debit_spread,2025-06-05T19:40:00+00:00,2025-06-05T19:45:00+00:00,2025-06-10,593.79,594.29,26.614,27.3001,0.6861,68.61,2.578,0.247,signal_exit,BUY 10 SPY 2025-06-10 593 CALL ; SELL 10 SPY 2025-06-10 599 CALL
SPY,put_debit_spread,2025-06-10T19:10:00+00:00,2025-06-10T19:35:00+00:00,2025-06-13,602.9,602.19,18.7426,20.5737,1.8311,183.11,9.7696,0.1321,signal_exit,BUY 10 SPY 2025-06-13 603 PUT ; SELL 10 SPY 2025-06-13 598 PUT
SPY,call_debit_spread,2025-06-11T19:25:00+00:00,2025-06-11T19:55:00+00:00,2025-06-16,600.48,601.39,21.874,23.1751,1.3011,130.11,5.948,0.1948,signal_exit,BUY 10 SPY 2025-06-16 600 CALL ; SELL 10 SPY 2025-06-16 605 CALL
SPY,call_debit_spread,2025-06-13T18:55:00+00:00,2025-06-13T19:55:00+00:00,2025-06-18,597.21,596.97,26.1362,25.8242,-0.312,-31.2,-1.1937,0.2695,signal_exit,BUY 10 SPY 2025-06-18 597 CALL ; SELL 10 SPY 2025-06-18 603 CALL
SPY,call_debit_spread,2025-06-17T18:40:00+00:00,2025-06-17T18:55:00+00:00,2025-06-20,597.25,598.12,23.6005,25.5315,1.931,193.1,8.1822,0.1887,signal_exit,BUY 10 SPY 2025-06-20 597 CALL ; SELL 10 SPY 2025-06-20 603 CALL
SPY,put_debit_spread,2025-06-23T19:50:00+00:00,2025-06-24T17:20:00+00:00,2025-06-26,599.9,606.44,17.7324,8.5252,-9.2072,-920.72,-51.9232,0.2278,signal_exit,BUY 10 SPY 2025-06-26 600 PUT ; SELL 10 SPY 2025-06-26 596 PUT
SPY,put_debit_spread,2025-06-26T14:35:00+00:00,2025-06-26T15:25:00+00:00,2025-07-01,610.25,610.09,31.883,32.2614,0.3784,37.84,1.1867,0.1644,signal_exit,BUY 10 SPY 2025-07-01 611 PUT ; SELL 10 SPY 2025-07-01 603 PUT
SPY,put_debit_spread,2025-06-30T19:20:00+00:00,2025-07-01T13:30:00+00:00,2025-07-03,617.74,616.59,20.5978,22.5636,1.9658,196.58,9.544,0.1714,signal_exit,BUY 10 SPY 2025-07-03 618 PUT ; SELL 10 SPY 2025-07-03 613 PUT
SPY,put_debit_spread,2025-07-02T19:10:00+00:00,2025-07-02T19:25:00+00:00,2025-07-07,620.04,619.76,14.405,14.7594,0.3544,35.44,2.46,0.1291,signal_exit,BUY 10 SPY 2025-07-07 621 PUT ; SELL 10 SPY 2025-07-07 618 PUT
SPY,put_debit_spread,2025-07-10T14:40:00+00:00,2025-07-10T16:10:00+00:00,2025-07-15,624.82,625.22,18.1756,17.7224,-0.4532,-45.32,-2.4933,0.1929,signal_exit,BUY 10 SPY 2025-07-15 625 PUT ; SELL 10 SPY 2025-07-15 621 PUT
SPY,call_debit_spread,2025-07-15T16:55:00+00:00,2025-07-15T17:25:00+00:00,2025-07-18,623.22,623.86,20.6138,21.7792,1.1654,116.54,5.6536,0.1831,signal_exit,BUY 10 SPY 2025-07-18 623 CALL ; SELL 10 SPY 2025-07-18 628 CALL
SPY,put_debit_spread,2025-07-17T15:10:00+00:00,2025-07-17T16:15:00+00:00,2025-07-22,626.33,626.83,19.1721,18.7608,-0.4112,-41.12,-2.145,0.2632,signal_exit,BUY 10 SPY 2025-07-22 627 PUT ; SELL 10 SPY 2025-07-22 623 PUT
SPY,put_debit_spread,2025-07-23T16:10:00+00:00,2025-07-23T16:30:00+00:00,2025-07-28,631.92,631.39,17.972,18.5745,0.6025,60.25,3.3524,0.1844,signal_exit,BUY 10 SPY 2025-07-28 632 PUT ; SELL 10 SPY 2025-07-28 628 PUT
SPY,call_debit_spread,2025-07-29T15:40:00+00:00,2025-07-29T15:50:00+00:00,2025-08-01,635.13,636.08,20.3177,23.3821,3.0644,306.44,15.0824,0.1137,signal_exit,BUY 10 SPY 2025-08-01 635 CALL ; SELL 10 SPY 2025-08-01 641 CALL
SPY,call_debit_spread,2025-07-31T19:25:00+00:00,2025-08-01T15:35:00+00:00,2025-08-05,632.78,622.64,27.2805,16.351,-10.9296,-1092.96,-40.0636,0.3108,signal_exit,BUY 10 SPY 2025-08-05 632 CALL ; SELL 10 SPY 2025-08-05 638 CALL
SPY,put_debit_spread,2025-08-06T15:40:00+00:00,2025-08-06T16:40:00+00:00,2025-08-11,632.08,632.07,34.1397,34.1338,-0.0059,-0.59,-0.0174,0.2063,signal_exit,BUY 10 SPY 2025-08-11 633 PUT ; SELL 10 SPY 2025-08-11 625 PUT
SPY,put_debit_spread,2025-08-14T19:50:00+00:00,2025-08-15T13:30:00+00:00,2025-08-19,645.49,645.18,18.1342,18.4093,0.275,27.5,1.5167,0.1556,signal_exit,BUY 10 SPY 2025-08-19 646 PUT ; SELL 10 SPY 2025-08-19 642 PUT
SPY,call_debit_spread,2025-08-19T15:05:00+00:00,2025-08-19T15:40:00+00:00,2025-08-22,641.31,641.32,23.0319,23.0329,0.001,0.1,0.0045,0.1521,signal_exit,BUY 10 SPY 2025-08-22 641 CALL ; SELL 10 SPY 2025-08-22 647 CALL
