symbol,structure,entry_time_utc,exit_time_utc,expiry_date,entry_underlying,exit_underlying,entry_value,exit_value,pnl_points,pnl_dollars,return_pct,sigma,exit_reason,legs
SPY,put_debit_spread,2026-03-20T17:47:00+00:00,2026-03-20T17:53:00+00:00,2026-03-23,650.75,651.25,1.6271,1.521,-0.1061,-10.61,-6.5217,0.1198,signal_exit,BUY 1 SPY 2026-03-23 651 PUT ; SELL 1 SPY 2026-03-23 647 PUT
SPY,put_debit_spread,2026-03-20T18:10:00+00:00,2026-03-20T18:59:00+00:00,2026-03-23,650.46,648.07,1.6823,2.2181,0.5358,53.58,31.8495,0.1174,signal_exit,BUY 1 SPY 2026-03-23 651 PUT ; SELL 1 SPY 2026-03-23 647 PUT
SPY,call_debit_spread,2026-03-23T17:41:00+00:00,2026-03-23T17:43:00+00:00,2026-03-24,657.24,656.69,1.7674,1.6014,-0.166,-16.6,-9.391,0.1636,signal_exit,BUY 1 SPY 2026-03-24 657 CALL ; SELL 1 SPY 2026-03-24 662 CALL
SPY,call_debit_spread,2026-03-23T18:05:00+00:00,2026-03-23T18:06:00+00:00,2026-03-24,658.03,657.77,1.4278,1.3567,-0.0711,-7.11,-4.9804,0.148,signal_exit,BUY 1 SPY 2026-03-24 658 CALL ; SELL 1 SPY 2026-03-24 662 CALL
SPY,put_debit_spread,2026-03-24T17:06:00+00:00,2026-03-24T17:23:00+00:00,2026-03-25,653.35,653.26,1.7819,1.8124,0.0305,3.05,1.7117,0.1317,signal_exit,BUY 1 SPY 2026-03-25 654 PUT ; SELL 1 SPY 2026-03-25 649 PUT
SPY,call_debit_spread,2026-03-24T18:40:00+00:00,2026-03-24T18:42:00+00:00,2026-03-25,656.37,655.22,1.648,1.2435,-0.4044,-40.44,-24.5421,0.1312,signal_exit,BUY 1 SPY 2026-03-25 656 CALL ; SELL 1 SPY 2026-03-25 661 CALL
SPY,put_debit_spread,2026-03-24T19:47:00+00:00,2026-03-24T19:59:00+00:00,2026-03-25,653.35,653.2,1.4681,1.5239,0.0558,5.58,3.8017,0.1098,signal_exit,BUY 1 SPY 2026-03-25 654 PUT ; SELL 1 SPY 2026-03-25 650 PUT
SPY,put_debit_spread,2026-03-25T19:03:00+00:00,2026-03-25T19:13:00+00:00,2026-03-26,655.66,656.36,1.332,1.0754,-0.2566,-25.66,-19.2629,0.1042,signal_exit,BUY 1 SPY 2026-03-26 656 PUT ; SELL 1 SPY 2026-03-26 652 PUT
SPY,put_debit_spread,2026-03-26T14:44:00+00:00,2026-03-26T15:00:00+00:00,2026-03-27,652.66,652.4,2.0966,2.1446,0.048,4.8,2.2898,0.2688,signal_exit,BUY 1 SPY 2026-03-27 653 PUT ; SELL 1 SPY 2026-03-27 648 PUT
SPY,put_debit_spread,2026-03-26T16:23:00+00:00,2026-03-26T16:45:00+00:00,2026-03-27,650.13,649.55,1.5636,1.7862,0.2226,22.26,14.2371,0.1061,signal_exit,BUY 1 SPY 2026-03-27 651 PUT ; SELL 1 SPY 2026-03-27 647 PUT
