timestamp_utc,timestamp_local,symbol,signal,regime,price,reason,extras_json
2026-03-20T16:40:00+00:00,2026-03-20 12:40:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,652.46,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 652.7846, ""range_width_pct"": 0.0031}"
2026-03-20T16:50:00+00:00,2026-03-20 12:50:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,652.49,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 652.7671, ""range_width_pct"": 0.0031}"
2026-03-20T16:58:00+00:00,2026-03-20 12:58:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,586.25,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 586.5091, ""range_width_pct"": 0.0049}"
2026-03-20T17:00:00+00:00,2026-03-20 13:00:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,652.99,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 652.8202, ""range_width_pct"": 0.0031}"
2026-03-20T17:10:00+00:00,2026-03-20 13:10:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,652.54,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 652.8419, ""range_width_pct"": 0.0034}"
2026-03-20T17:20:00+00:00,2026-03-20 13:20:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,652.24,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 652.8321, ""range_width_pct"": 0.0034}"
2026-03-20T17:30:00+00:00,2026-03-20 13:30:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,652.27,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 652.7554, ""range_width_pct"": 0.0025}"
2026-03-20T17:35:00+00:00,2026-03-20 13:35:00 EDT,QQQ,TREND_SHORT,TREND_DOWN,584.08,Trend-down pullback to fast EMA with negative momentum/volume confirmation.,"{""ema_fast"": 584.9232, ""stop_price"": 586.1886, ""target_price"": 580.9171, ""volume_ratio"": 1.47}"
2026-03-20T17:39:00+00:00,2026-03-20 13:39:00 EDT,QQQ,EXIT_SHORT,NO_TRADE,584.13,Short exited because regime is no longer TREND_DOWN.,{}
2026-03-20T17:47:00+00:00,2026-03-20 13:47:00 EDT,SPY,TREND_SHORT,TREND_DOWN,650.75,Trend-down pullback to fast EMA with negative momentum/volume confirmation.,"{""ema_fast"": 651.4037, ""stop_price"": 652.8919, ""target_price"": 647.5372, ""volume_ratio"": 1.135}"
2026-03-20T17:50:00+00:00,2026-03-20 13:50:00 EDT,QQQ,TREND_SHORT,TREND_DOWN,583.99,Trend-down pullback to fast EMA with negative momentum/volume confirmation.,"{""ema_fast"": 584.1635, ""stop_price"": 585.0677, ""target_price"": 582.238, ""volume_ratio"": 1.247}"
