timestamp,symbol,week_key,from_state,to_state,reason,regime,price,center_price,active_butterflies,adjustments_this_week
2025-05-06T15:00:00+00:00,SPX,2025-05-05,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,5628.93,0.0,3,0
2025-05-06T15:30:00+00:00,SPX,2025-05-05,ACTIVE,ABORTED,Trend or breakout expansion invalidated the weekly corridor.,TREND_UP,5635.67,0.0,3,0
2025-05-19T18:30:00+00:00,SPX,2025-05-19,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,5953.68,0.0,3,0
2025-05-19T19:00:00+00:00,SPX,2025-05-19,ACTIVE,ADJUSTED,Added a single weekly adjustment butterfly after sustained drift.,RANGE,5955.1,0.0,4,1
2025-05-19T20:00:00+00:00,SPX,2025-05-19,ADJUSTED,ABORTED,Trend or breakout expansion invalidated the weekly corridor.,TREND_UP,5964.16,0.0,4,1
2025-05-27T15:00:00+00:00,SPX,2025-05-26,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,5894.14,0.0,3,0
2025-05-27T15:30:00+00:00,SPX,2025-05-26,ACTIVE,ADJUSTED,Added a single weekly adjustment butterfly after sustained drift.,RANGE,5899.09,0.0,4,1
2025-05-29T17:30:00+00:00,SPX,2025-05-26,ADJUSTED,ABORTED,Trend or breakout expansion invalidated the weekly corridor.,TREND_UP,5905.35,0.0,4,1
2025-06-02T14:00:00+00:00,SPX,2025-06-02,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,5869.3,0.0,3,0
2025-06-02T14:30:00+00:00,SPX,2025-06-02,ACTIVE,ABORTED,Trend or breakout expansion invalidated the weekly corridor.,TREND_UP,5903.14,0.0,3,0
2025-06-09T19:00:00+00:00,SPX,2025-06-09,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,6019.27,0.0,3,0
2025-06-09T19:30:00+00:00,SPX,2025-06-09,ACTIVE,ADJUSTED,Added a single weekly adjustment butterfly after sustained drift.,RANGE,6013.03,0.0,4,1
2025-06-11T14:30:00+00:00,SPX,2025-06-09,ADJUSTED,ABORTED,Trend or breakout expansion invalidated the weekly corridor.,TREND_UP,6056.74,0.0,4,1
2025-06-16T14:00:00+00:00,SPX,2025-06-16,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,6040.39,0.0,3,0
2025-06-16T14:30:00+00:00,SPX,2025-06-16,ACTIVE,ADJUSTED,Added a single weekly adjustment butterfly after sustained drift.,RANGE,6050.29,0.0,4,1
2025-06-17T19:00:00+00:00,SPX,2025-06-16,ADJUSTED,ABORTED,Trend or breakout expansion invalidated the weekly corridor.,TREND_DOWN,5982.73,0.0,4,1
2025-06-23T14:00:00+00:00,SPX,2025-06-23,IDLE,ACTIVE,Deployed the initial 3-butterfly weekly corridor.,RANGE,5996.31,0.0,3,0
2025-06-23T14:30:00+00:00,SPX,2025-06-23,ACTIVE,ADJUSTED,Added a single weekly adjustment butterfly after sustained drift.,RANGE,6000.39,0.0,4,1
2025-06-24T13:30:00+00:00,SPX,2025-06-23,ADJUSTED,ABORTED,Trend or breakout expansion invalidated the weekly corridor.,TREND_UP,6068.27,0.0,4,1
