config_name,butterfly_width,center_spacing,weekly_center_tolerance,target_total_coverage,weekly_range_width_threshold_pct,weekly_trend_slope_threshold_pct,weekly_momentum_threshold_pct,net_modeled_pnl,net_dollar_pnl,return_on_capital,max_gross_deployment_dollars,worst_day_pnl_dollars,worst_week_pnl_dollars,profit_factor_by_closed_layer,profit_factor_by_week,weekly_occupancy_rate,avg_adjustments_per_week,weeks_traded,weeks_aborted,max_active_butterflies,closed_layers,winning_layers,losing_layers
loose_w100_s75_tol50,100.0,75.0,50.0,350.0,0.085,0.02,0.014,-2564.512,-256451.1977,-2.564512,8822.4,-6616.8,-8822.4,0.213894,0.0,0.4641,0.9583,48,32,4,190,42,148
loose_w100_s75_tol75,100.0,75.0,75.0,350.0,0.085,0.02,0.014,-2564.512,-256451.1977,-2.564512,8822.4,-6616.8,-8822.4,0.213894,0.0,0.4641,0.9583,48,32,4,190,42,148
loose_w100_s75_tol100,100.0,75.0,100.0,350.0,0.085,0.02,0.014,-2564.512,-256451.1977,-2.564512,8822.4,-6616.8,-8822.4,0.213894,0.0,0.4641,0.9583,48,32,4,190,42,148
loose_w100_s75_tol125,100.0,75.0,125.0,350.0,0.085,0.02,0.014,-2564.512,-256451.1977,-2.564512,8822.4,-6616.8,-8822.4,0.213894,0.0,0.4641,0.9583,48,32,4,190,42,148
loose_w90_s60_tol50,90.0,60.0,50.0,300.0,0.085,0.02,0.014,-2362.0816,-236208.1593,-2.362082,7942.4,-7769.2638,-7942.4,0.201029,0.0,0.4607,0.9583,48,32,4,190,41,149
loose_w90_s60_tol75,90.0,60.0,75.0,300.0,0.085,0.02,0.014,-2362.0816,-236208.1593,-2.362082,7942.4,-7769.2638,-7942.4,0.201029,0.0,0.4607,0.9583,48,32,4,190,41,149
loose_w90_s60_tol100,90.0,60.0,100.0,300.0,0.085,0.02,0.014,-2362.0816,-236208.1593,-2.362082,7942.4,-7769.2638,-7942.4,0.201029,0.0,0.4607,0.9583,48,32,4,190,41,149
loose_w90_s60_tol125,90.0,60.0,125.0,300.0,0.085,0.02,0.014,-2362.0816,-236208.1593,-2.362082,7942.4,-7769.2638,-7942.4,0.201029,0.0,0.4607,0.9583,48,32,4,190,41,149
loose_w75_s50_tol50,75.0,50.0,50.0,250.0,0.085,0.02,0.014,-2138.3516,-213835.1641,-2.138352,6622.4,-6553.8628,-6622.4,0.164577,0.0,0.4506,0.9583,48,32,4,190,35,155
loose_w75_s50_tol75,75.0,50.0,75.0,250.0,0.085,0.02,0.014,-2138.3516,-213835.1641,-2.138352,6622.4,-6553.8628,-6622.4,0.164577,0.0,0.4506,0.9583,48,32,4,190,35,155
loose_w75_s50_tol100,75.0,50.0,100.0,250.0,0.085,0.02,0.014,-2138.3516,-213835.1641,-2.138352,6622.4,-6553.8628,-6622.4,0.164577,0.0,0.4506,0.9583,48,32,4,190,35,155
loose_w75_s50_tol125,75.0,50.0,125.0,250.0,0.085,0.02,0.014,-2138.3516,-213835.1641,-2.138352,6622.4,-6553.8628,-6622.4,0.164577,0.0,0.4506,0.9583,48,32,4,190,35,155
loose_w75_s75_tol50,75.0,75.0,50.0,300.0,0.085,0.02,0.014,-2138.3516,-213835.1641,-2.138352,6622.4,-6553.8628,-6622.4,0.164577,0.0,0.4506,0.9583,48,32,4,190,35,155
loose_w75_s75_tol75,75.0,75.0,75.0,300.0,0.085,0.02,0.014,-2138.3516,-213835.1641,-2.138352,6622.4,-6553.8628,-6622.4,0.164577,0.0,0.4506,0.9583,48,32,4,190,35,155
loose_w75_s75_tol100,75.0,75.0,100.0,300.0,0.085,0.02,0.014,-2138.3516,-213835.1641,-2.138352,6622.4,-6553.8628,-6622.4,0.164577,0.0,0.4506,0.9583,48,32,4,190,35,155
loose_w75_s75_tol125,75.0,75.0,125.0,300.0,0.085,0.02,0.014,-2138.3516,-213835.1641,-2.138352,6622.4,-6553.8628,-6622.4,0.164577,0.0,0.4506,0.9583,48,32,4,190,35,155
loose_w60_s50_tol50,60.0,50.0,50.0,220.0,0.085,0.02,0.014,-1858.2813,-185828.1251,-1.858281,5302.4,-5302.4,-5302.4,0.127302,0.0,0.4334,0.9583,48,32,4,190,29,161
loose_w60_s50_tol75,60.0,50.0,75.0,220.0,0.085,0.02,0.014,-1858.2813,-185828.1251,-1.858281,5302.4,-5302.4,-5302.4,0.127302,0.0,0.4334,0.9583,48,32,4,190,29,161
loose_w60_s50_tol100,60.0,50.0,100.0,220.0,0.085,0.02,0.014,-1858.2813,-185828.1251,-1.858281,5302.4,-5302.4,-5302.4,0.127302,0.0,0.4334,0.9583,48,32,4,190,29,161
loose_w60_s50_tol125,60.0,50.0,125.0,220.0,0.085,0.02,0.014,-1858.2813,-185828.1251,-1.858281,5302.4,-5302.4,-5302.4,0.127302,0.0,0.4334,0.9583,48,32,4,190,29,161
